Year	Month	Day	Time (24h)	Origin	Wild / F1	Number	Used Spawning	Size Length (mm)	Wet Weight (g)	Size Area	Live / Dead	Tissue Sample	Shell	Site	Tray ID	Salinity (ppt)	Temp (pre)	Temp (treat)	Temp (recov)	Anesthesia	Open	Brooding	Stage	Fecundity	Duplicate Record	Brooder ID
2013	December	19		S	F1	1	NA	23	1.27	NA	Live	1	1	1	1S5-8											
2013	December	19		S	F1	2	NA	26	1.63	NA	Live	1	1	1	1S5-8											
2013	December	19		S	F1	3	NA	25	2.13	NA	Live	1	1	1	1S5-8											
2013	December	19		S	F1	4	NA	25	1.5	NA	Live	1	1	1	1S5-8											
2013	December	19		S	F1	5	NA	29	2.48	NA	Live	1	1	1	1S5-8											
2013	December	19		S	F1	6	NA	24	1.69	NA	Live	1	1	1	1S5-8											
2013	December	19		S	F1	7	NA	30	1.59	NA	Live	1	1	1	1S5-8											
2013	December	19		S	F1	8	NA	28	1.75	NA	Live	1	1	1	1S5-8											
2013	December	19		S	F1	1	NA	25	1.6	NA	Live	1	1	1	1S9-12											
2013	December	19		S	F1	2	NA	15	0.66	NA	Live	1	1	1	1S9-12											
2013	December	19		S	F1	3	NA	26	1.65	NA	Live	1	1	1	1S9-12											
2013	December	19		S	F1	4	NA	21	1.29	NA	Live	1	1	1	1S9-12											
2013	December	19		S	F1	5	NA	18	1.05	NA	Live	1	1	1	1S9-12											
2013	December	19		S	F1	6	NA	27	2.36	NA	Live	1	1	1	1S9-12											
2013	December	19		S	F1	7	NA	14	0.46	NA	Live	1	1	1	1S9-12											
2013	December	19		S	F1	8	NA	23	2	NA	Live	1	1	1	1S9-12											
2013	December	19		S	F1	1	NA	21	0.67	NA	Live	1	1	1	1S13-16											
2013	December	19		S	F1	2	NA	18	0.58	NA	Live	1	1	1	1S13-16											
2013	December	19		S	F1	3	NA	27	2.1	NA	Live	1	1	1	1S13-16											
2013	December	19		S	F1	4	NA	28	2.5	NA	Live	1	1	1	1S13-16											
2013	December	19		S	F1	5	NA	22	1.41	NA	Live	1	1	1	1S13-16											
2013	December	19		S	F1	6	NA	24	1.2	NA	Live	1	1	1	1S13-16											
2013	December	19		S	F1	7	NA	30	2.28	NA	Live	1	1	1	1S13-16											
2013	December	19		S	F1	8	NA	25	1.31	NA	Live	1	1	1	1S13-16											
2013	December	17		N	F1	9	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	10	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	11	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	12	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	13	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	14	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	15	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	16	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	17	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	18	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	19	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	20	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	21	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	22	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	23	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	24	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	25	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	26	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	27	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	28	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	29	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	30	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	31	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	32	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	33	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	34	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	35	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	36	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	37	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	38	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	39	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	40	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	41	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	42	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	43	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	44	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	45	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	46	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	47	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	48	NA	NA	NA	NA	Live	0	0	4	4N1-4											
2013	December	17		N	F1	49	NA	NA	NA	NA	Live	0	0	4	4N1-4											
