Year	Month	Day	Time (24h)	Origin	Wild / F1	Number	Used Spawning	Size Length (mm)	Wet Weight (g)	Size Area	Live / Dead	Tissue Sample	Shell	Site	Tray ID	Salinity (ppt)	Temp (pre)	Temp (treat)	Temp (recov)	Anesthesia	Open	Brooding	Stage	Fecundity	Duplicate Record	Brooder ID
2013	December	17		N	F1	1	NA	25	1.96	NA	Live	1	1	4	4N1-4											
2013	December	17		N	F1	2	NA	21	1.22	NA	Live	1	1	4	4N1-4											
2013	December	17		N	F1	3	NA	10	0.25	NA	Live	1	1	4	4N1-4											
2013	December	17		N	F1	4	NA	20	0.96	NA	Live	1	1	4	4N1-4											
2013	December	17		N	F1	5	NA	26	1.38	NA	Live	1	1	4	4N1-4											
2013	December	17		N	F1	6	NA	9	0.11	NA	Live	1	1	4	4N1-4											
2013	December	17		N	F1	7	NA	17	0.4	NA	Live	1	1	4	4N1-4											
2013	December	17		N	F1	8	NA	10	0.09	NA	Live	1	1	4	4N1-4											
2013	December	17		N	F1	1	NA	15	0.33	NA	Live	1	1	4	4N5-8											
2013	December	17		N	F1	2	NA	13	0.18	NA	Live	1	1	4	4N5-8											
2013	December	17		N	F1	3	NA	15	0.38	NA	Live	1	1	4	4N5-8											
2013	December	17		N	F1	4	NA	7	0.08	NA	Live	1	1	4	4N5-8											
2013	December	17		N	F1	5	NA	17	0.42	NA	Live	1	1	4	4N5-8											
2013	December	17		N	F1	6	NA	11	0.18	NA	Live	1	1	4	4N5-8											
2013	December	17		N	F1	7	NA	20	0.48	NA	Live	1	1	4	4N5-8											
2013	December	17		N	F1	1	NA	9	0.1	NA	Live	1	1	4	4N9-12											
2013	December	17		N	F1	2	NA	15	0.63	NA	Live	1	1	4	4N9-12											
2013	December	17		N	F1	3	NA	12	0.18	NA	Live	1	1	4	4N9-12											
2013	December	17		N	F1	4	NA	16	0.42	NA	Live	1	1	4	4N9-12											
2013	December	17		N	F1	5	NA	18	0.16	NA	Live	1	1	4	4N9-12											
2013	December	17		N	F1	6	NA	18	0.2	NA	Live	1	1	4	4N9-12											
2013	December	17		N	F1	8	NA	14	0.41	NA	Live	1	1	4	4N9-12											
2013	December	17		N	F1	1	NA	14	0.41	NA	Live	1	1	4	4N13-16											
2013	December	17		N	F1	2	NA	18	0.49	NA	Live	1	1	4	4N13-16											
2013	December	17		N	F1	3	NA	12	0.21	NA	Live	1	1	4	4N13-16											
2013	December	17		N	F1	4	NA	21	0.9	NA	Live	1	1	4	4N13-16											
2013	December	17		N	F1	5	NA	13	0.21	NA	Live	1	1	4	4N13-16											
2013	December	17		N	F1	6	NA	13	0.43	NA	Live	1	1	4	4N13-16											
2013	December	17		N	F1	7	NA	10	0.16	NA	Live	1	1	4	4N13-16											
2013	December	17		N	F1	8	NA	16	0.7	NA	Live	1	1	4	4N13-16											
2013	December	17		H	F1	1	NA	17	0.47	NA	Live	1	1	4	4H1-4											
2013	December	17		H	F1	2	NA	9	0.06	NA	Live	1	1	4	4H1-4											
2013	December	17		H	F1	3	NA	16	0.45	NA	Live	1	1	4	4H1-4											
2013	December	17		H	F1	4	NA	17	0.34	NA	Live	1	1	4	4H1-4											
2013	December	17		H	F1	5	NA	13	0.29	NA	Live	1	1	4	4H1-4											
2013	December	17		H	F1	6	NA	10	0.12	NA	Live	1	1	4	4H1-4											
2013	December	17		H	F1	7	NA	18	0.57	NA	Live	1	1	4	4H1-4											
2013	December	17		H	F1	8	NA	10	0.12	NA	Live	1	1	4	4H1-4											
2013	December	17		H	F1	1	NA	20	0.64	NA	Live	1	1	4	4H5-8											
2013	December	17		H	F1	2	NA	14	0.23	NA	Live	1	1	4	4H5-8											
2013	December	17		H	F1	3	NA	16	0.53	NA	Live	1	1	4	4H5-8											
2013	December	17		H	F1	4	NA	13	0.29	NA	Live	1	1	4	4H5-8											
2013	December	17		H	F1	5	NA	12	0.15	NA	Live	1	1	4	4H5-8											
2013	December	17		H	F1	6	NA	10	0.17	NA	Live	1	1	4	4H5-8											
2013	December	17		H	F1	7	NA	15	0.57	NA	Live	1	1	4	4H5-8											
2013	December	17		H	F1	8	NA	13	0.24	NA	Live	1	1	4	4H5-8											
2013	December	17		H	F1	1	NA	13	0.32	NA	Live	1	1	4	4H9-12											
2013	December	17		H	F1	2	NA	13	0.27	NA	Live	1	1	4	4H9-12											
2013	December	17		H	F1	3	NA	17	0.44	NA	Live	1	1	4	4H9-12											
2013	December	17		H	F1	4	NA	16	0.6	NA	Live	1	1	4	4H9-12											
2013	December	17		H	F1	5	NA	17	0.51	NA	Live	1	1	4	4H9-12											
2013	December	17		H	F1	6	NA	15	0.35	NA	Live	1	1	4	4H9-12											
2013	December	17		H	F1	7	NA	14	0.3	NA	Live	1	1	4	4H9-12											
2013	December	17		H	F1	8	NA	18	0.29	NA	Live	1	1	4	4H9-12											
2013	December	17		H	F1	1	NA	16	0.51	NA	Live	1	1	4	4H13-16											
2013	December	17		H	F1	2	NA	14	0.35	NA	Live	1	1	4	4H13-16											
2013	December	17		H	F1	3	NA	18	0.97	NA	Live	1	1	4	4H13-16											
2013	December	17		H	F1	4	NA	14	0.38	NA	Live	1	1	4	4H13-16											
2013	December	17		H	F1	5	NA	14	0.31	NA	Live	1	1	4	4H13-16											
2013	December	17		H	F1	6	NA	13	0.35	NA	Live	1	1	4	4H13-16											
2013	December	17		H	F1	7	NA	18	0.85	NA	Live	1	1	4	4H13-16											
2013	December	17		H	F1	8	NA	12	0.17	NA	Live	1	1	4	4H13-16											
2013	December	17		S	F1	1	NA	10	0.19	NA	Live	1	1	4	4S1-4											
2013	December	17		S	F1	2	NA	17	0.49	NA	Live	1	1	4	4S1-4											
2013	December	17		S	F1	3	NA	10	0.15	NA	Live	1	1	4	4S1-4											
2013	December	17		S	F1	4	NA	7	0.13	NA	Live	1	1	4	4S1-4											
2013	December	17		S	F1	5	NA	22	1.04	NA	Live	1	1	4	4S1-4											
2013	December	17		S	F1	6	NA	15	0.61	NA	Live	1	1	4	4S1-4											
2013	December	17		S	F1	7	NA	13	0.31	NA	Live	1	1	4	4S1-4											
2013	December	17		S	F1	8	NA	12	0.28	NA	Live	1	1	4	4S1-4											
2013	December	17		S	F1	1	NA	11	0.18	NA	Live	1	1	4	4S5-8											
2013	December	17		S	F1	2	NA	19	0.58	NA	Live	1	1	4	4S5-8											
2013	December	17		S	F1	3	NA	15	0.64	NA	Live	1	1	4	4S5-8											
2013	December	17		S	F1	4	NA	9	0.19	NA	Live	1	1	4	4S5-8											
2013	December	17		S	F1	5	NA	14	0.39	NA	Live	1	1	4	4S5-8											
2013	December	17		S	F1	6	NA	15	0.38	NA	Live	1	1	4	4S5-8											
2013	December	17		S	F1	7	NA	15	0.27	NA	Live	1	1	4	4S5-8											
2013	December	17		S	F1	8	NA	9	0.15	NA	Live	1	1	4	4S5-8											
2013	December	17		S	F1	1	NA	13	0.17	NA	Live	1	1	4	4S9-12											
2013	December	17		S	F1	2	NA	12	0.26	NA	Live	1	1	4	4S9-12											
2013	December	17		S	F1	3	NA	16	0.54	NA	Live	1	1	4	4S9-12											
2013	December	17		S	F1	4	NA	15	0.54	NA	Live	1	1	4	4S9-12											
2013	December	17		S	F1	5	NA	12	0.36	NA	Live	1	1	4	4S9-12											
2013	December	17		S	F1	6	NA	15	0.28	NA	Live	1	1	4	4S9-12											
2013	December	17		S	F1	7	NA	15	0.3	NA	Live	1	1	4	4S9-12											
2013	December	17		S	F1	8	NA	16	0.55	NA	Live	1	1	4	4S9-12											
2013	December	17		S	F1	1	NA	16	0.5	NA	Live	1	1	4	4S13-16											
2013	December	17		S	F1	2	NA	11	0.32	NA	Live	1	1	4	4S13-16											
2013	December	17		S	F1	3	NA	13	0.29	NA	Live	1	1	4	4S13-16											
2013	December	17		S	F1	4	NA	10	0.17	NA	Live	1	1	4	4S13-16											
2013	December	17		S	F1	5	NA	16	0.34	NA	Live	1	1	4	4S13-16											
2013	December	17		S	F1	6	NA	12	0.29	NA	Live	1	1	4	4S13-16											
2013	December	17		S	F1	7	NA	15	0.33	NA	Live	1	1	4	4S13-16											
2013	December	17		S	F1	8	NA	23	1.33	NA	Live	1	1	4	4S13-16											
2013	December	18		N	F1	1	NA	28	1.49	NA	Live	1	1	2	2N1-4											
2013	December	18		N	F1	2	NA	21	0.88	NA	Live	1	1	2	2N1-4											
2013	December	18		N	F1	3	NA	18	0.9	NA	Live	1	1	2	2N1-4											
2013	December	18		N	F1	4	NA	15	0.32	NA	Live	1	1	2	2N1-4											
2013	December	18		N	F1	5	NA	15	0.45	NA	Live	1	1	2	2N1-4											
2013	December	18		N	F1	6	NA	24	1.01	NA	Live	1	1	2	2N1-4											
2013	December	18		N	F1	7	NA	18	0.85	NA	Live	1	1	2	2N1-4											
2013	December	18		N	F1	8	NA	18	0.76	NA	Live	1	1	2	2N1-4											
2013	December	18		N	F1	1	NA	23	1.04	NA	Live	1	1	2	2N5-8											
2013	December	18		N	F1	2	NA	32	2.25	NA	Live	1	1	2	2N5-8											
2013	December	18		N	F1	3	NA	29	2.79	NA	Live	1	1	2	2N5-8											
2013	December	18		N	F1	4	NA	16	0.43	NA	Live	1	1	2	2N5-8											
2013	December	18		N	F1	5	NA	16	0.62	NA	Live	1	1	2	2N5-8											
2013	December	18		N	F1	6	NA	20	0.64	NA	Live	1	1	2	2N5-8											
2013	December	18		N	F1	7	NA	22	1.78	NA	Live	1	1	2	2N5-8											
2013	December	18		N	F1	8	NA	16	0.7	NA	Live	1	1	2	2N5-8											
2013	December	18		N	F1	1	NA	18	0.99	NA	Live	1	1	2	2N9-12											
2013	December	18		N	F1	2	NA	15	0.88	NA	Live	1	1	2	2N9-12											
2013	December	18		N	F1	3	NA	25	1.22	NA	Live	1	1	2	2N9-12											
2013	December	18		N	F1	4	NA	30	2.62	NA	Live	1	1	2	2N9-12											
2013	December	18		N	F1	5	NA	20	1	NA	Live	1	1	2	2N9-12											
2013	December	18		N	F1	6	NA	17	0.91	NA	Live	1	1	2	2N9-12											
2013	December	18		N	F1	7	NA	25	1.55	NA	Live	1	1	2	2N9-12											
2013	December	18		N	F1	8	NA	18	0.68	NA	Live	1	1	2	2N9-12											
2013	December	18		N	F1	1	NA	12	0.25	NA	Live	1	1	2	2N13-16											
2013	December	18		N	F1	2	NA	26	1.65	NA	Live	1	1	2	2N13-16											
2013	December	18		N	F1	3	NA	26	2.24	NA	Live	1	1	2	2N13-16											
2013	December	18		N	F1	4	NA	23	1.39	NA	Live	1	1	2	2N13-16											
2013	December	18		N	F1	5	NA	21	0.87	NA	Live	1	1	2	2N13-16											
2013	December	18		N	F1	6	NA	22	1.33	NA	Live	1	1	2	2N13-16											
2013	December	18		N	F1	7	NA	22	1.72	NA	Live	1	1	2	2N13-16											
2013	December	18		N	F1	8	NA	11	0.44	NA	Live	1	1	2	2N13-16											
2013	December	18		H	F1	1	NA	12	0.33	NA	Live	1	1	2	2H1-4											
2013	December	18		H	F1	2	NA	8	0.08	NA	Live	1	1	2	2H1-4											
2013	December	18		H	F1	3	NA	15	0.38	NA	Live	1	1	2	2H1-4											
2013	December	18		H	F1	4	NA	20	0.52	NA	Live	1	1	2	2H1-4											
2013	December	18		H	F1	5	NA	17	0.6	NA	Live	1	1	2	2H1-4											
2013	December	18		H	F1	6	NA	12	0.25	NA	Live	1	1	2	2H1-4											
2013	December	18		H	F1	7	NA	19	0.63	NA	Live	1	1	2	2H1-4											
2013	December	18		H	F1	8	NA	14	0.16	NA	Live	1	1	2	2H1-4											
2013	December	18		H	F1	1	NA	21	0.99	NA	Live	1	1	2	2H5-8											
2013	December	18		H	F1	2	NA	15	0.45	NA	Live	1	1	2	2H5-8											
2013	December	18		H	F1	3	NA	15	0.26	NA	Live	1	1	2	2H5-8											
2013	December	18		H	F1	4	NA	19	0.76	NA	Live	1	1	2	2H5-8											
2013	December	18		H	F1	5	NA	21	1.05	NA	Live	1	1	2	2H5-8											
2013	December	18		H	F1	6	NA	16	0.75	NA	Live	1	1	2	2H5-8											
2013	December	18		H	F1	7	NA	16	0.5	NA	Live	1	1	2	2H5-8											
2013	December	18		H	F1	8	NA	25	1.35	NA	Live	1	1	2	2H5-8											
2013	December	18		H	F1	1	NA	15	0.4	NA	Live	1	1	2	2H9-12											
2013	December	18		H	F1	2	NA	14	0.39	NA	Live	1	1	2	2H9-12											
2013	December	18		H	F1	3	NA	20	0.87	NA	Live	1	1	2	2H9-12											
2013	December	18		H	F1	4	NA	20	1.07	NA	Live	1	1	2	2H9-12											
2013	December	18		H	F1	5	NA	21	0.78	NA	Live	1	1	2	2H9-12											
2013	December	18		H	F1	6	NA	13	0.26	NA	Live	1	1	2	2H9-12											
2013	December	18		H	F1	7	NA	13	0.28	NA	Live	1	1	2	2H9-12											
2013	December	18		H	F1	8	NA	22	1.23	NA	Live	1	1	2	2H9-12											
2013	December	18		H	F1	1	NA	18	1	NA	Live	1	1	2	2H13-16											
2013	December	18		H	F1	2	NA	17	0.56	NA	Live	1	1	2	2H13-16											
2013	December	18		H	F1	3	NA	13	0.46	NA	Live	1	1	2	2H13-16											
2013	December	18		H	F1	4	NA	10	0.22	NA	Live	1	1	2	2H13-16											
2013	December	18		H	F1	5	NA	11	0.23	NA	Live	1	1	2	2H13-16											
2013	December	18		H	F1	6	NA	23	1.48	NA	Live	1	1	2	2H13-16											
2013	December	18		H	F1	7	NA	22	1.15	NA	Live	1	1	2	2H13-16											
2013	December	18		H	F1	8	NA	13	0.31	NA	Live	1	1	2	2H13-16											
2013	December	18		S	F1	1	NA	19	0.84	NA	Live	1	1	2	2S1-4											
2013	December	18		S	F1	2	NA	20	1.09	NA	Live	1	1	2	2S1-4											
2013	December	18		S	F1	3	NA	16	0.39	NA	Live	1	1	2	2S1-4											
2013	December	18		S	F1	4	NA	14	0.41	NA	Live	1	1	2	2S1-4											
2013	December	18		S	F1	5	NA	28	2.32	NA	Live	1	1	2	2S1-4											
2013	December	18		S	F1	6	NA	17	0.62	NA	Live	1	1	2	2S1-4											
2013	December	18		S	F1	7	NA	13	0.36	NA	Live	1	1	2	2S1-4											
2013	December	18		S	F1	8	NA	19	0.82	NA	Live	1	1	2	2S1-4											
2013	December	18		S	F1	1	NA	35	2.72	NA	Live	1	1	2	2S5-8											
2013	December	18		S	F1	2	NA	17	0.51	NA	Live	1	1	2	2S5-8											
2013	December	18		S	F1	3	NA	22	1.28	NA	Live	1	1	2	2S5-8											
2013	December	18		S	F1	4	NA	18	0.62	NA	Live	1	1	2	2S5-8											
2013	December	18		S	F1	5	NA	31	2.31	NA	Live	1	1	2	2S5-8											
2013	December	18		S	F1	6	NA	27	2.2	NA	Live	1	1	2	2S5-8											
2013	December	18		S	F1	7	NA	25	1.54	NA	Live	1	1	2	2S5-8											
2013	December	18		S	F1	8	NA	20	0.83	NA	Live	1	1	2	2S5-8											
2013	December	18		S	F1	1	NA	15	0.38	NA	Live	1	1	2	2S9-12											
2013	December	18		S	F1	2	NA	25	1.28	NA	Live	1	1	2	2S9-12											
2013	December	18		S	F1	3	NA	20	1.4	NA	Live	1	1	2	2S9-12											
2013	December	18		S	F1	4	NA	15	0.36	NA	Live	1	1	2	2S9-12											
2013	December	18		S	F1	5	NA	20	1.15	NA	Live	1	1	2	2S9-12											
2013	December	18		S	F1	6	NA	27	1.56	NA	Live	1	1	2	2S9-12											
2013	December	18		S	F1	7	NA	18	0.6	NA	Live	1	1	2	2S9-12											
2013	December	18		S	F1	8	NA	26	2.1	NA	Live	1	1	2	2S9-12											
2013	December	18		S	F1	1	NA	21	1.17	NA	Live	1	1	2	2S13-16											
2013	December	18		S	F1	2	NA	15	0.32	NA	Live	1	1	2	2S13-16											
2013	December	18		S	F1	3	NA	25	1.63	NA	Live	1	1	2	2S13-16											
2013	December	18		S	F1	4	NA	19	0.72	NA	Live	1	1	2	2S13-16											
2013	December	18		S	F1	5	NA	20	0.95	NA	Live	1	1	2	2S13-16											
2013	December	18		S	F1	6	NA	16	0.41	NA	Live	1	1	2	2S13-16											
2013	December	18		S	F1	7	NA	19	1.01	NA	Live	1	1	2	2S13-16											
2013	December	18		S	F1	8	NA	17	0.52	NA	Live	1	1	2	2S13-16											
2013	December	19		N	F1	1	NA	18	1.02	NA	Live	1	1	1	1N1-4											
2013	December	19		N	F1	2	NA	32	2.43	NA	Live	1	1	1	1N1-4											
2013	December	19		N	F1	3	NA	26	2.18	NA	Live	1	1	1	1N1-4											
2013	December	19		N	F1	4	NA	17	0.57	NA	Live	1	1	1	1N1-4											
2013	December	19		N	F1	5	NA	28	2.25	NA	Live	1	1	1	1N1-4											
2013	December	19		N	F1	6	NA	25	1.88	NA	Live	1	1	1	1N1-4											
2013	December	19		N	F1	7	NA	15	0.61	NA	Live	1	1	1	1N1-4											
2013	December	19		N	F1	1	NA	27	1.95	NA	Live	1	1	1	1N5-8											
2013	December	19		N	F1	2	NA	28	2.1	NA	Live	1	1	1	1N5-8											
2013	December	19		N	F1	3	NA	17	0.61	NA	Live	1	1	1	1N5-8											
2013	December	19		N	F1	4	NA	25	1.39	NA	Live	1	1	1	1N5-8											
2013	December	19		N	F1	5	NA	29	1.87	NA	Live	1	1	1	1N5-8											
2013	December	19		N	F1	6	NA	20	1.22	NA	Live	1	1	1	1N5-8											
2013	December	19		N	F1	7	NA	21	1.3	NA	Live	1	1	1	1N5-8											
2013	December	19		N	F1	8	NA	16	0.4	NA	Live	1	1	1	1N5-8											
2013	December	19		N	F1	1	NA	14	0.36	NA	Live	1	1	1	1N9-12											
2013	December	19		N	F1	2	NA	22	1.42	NA	Live	1	1	1	1N9-12											
2013	December	19		N	F1	3	NA	30	3.02	NA	Live	1	1	1	1N9-12											
2013	December	19		N	F1	4	NA	33	3.02	NA	Live	1	1	1	1N9-12											
2013	December	19		N	F1	5	NA	21	1.66	NA	Live	1	1	1	1N9-12											
2013	December	19		N	F1	6	NA	21	1.21	NA	Live	1	1	1	1N9-12											
2013	December	19		N	F1	7	NA	20	1.28	NA	Live	1	1	1	1N9-12											
2013	December	19		N	F1	8	NA	18	0.82	NA	Live	1	1	1	1N9-12											
2013	December	19		N	F1	1	NA	16	0.59		Live	1	1	1	1N13-16											
2013	December	19		N	F1	2	NA	25	1.59		Live	1	1	1	1N13-16											
2013	December	19		N	F1	3	NA	23	1.63		Live	1	1	1	1N13-16											
2013	December	19		N	F1	4	NA	20	1.05		Live	1	1	1	1N13-16											
2013	December	19		N	F1	5	NA	20	0.93		Live	1	1	1	1N13-16											
2013	December	19		N	F1	6	NA	27	1.88		Live	1	1	1	1N13-16											
2013	December	19		N	F1	7	NA	23	1.13		Live	1	1	1	1N13-16											
2013	December	19		N	F1	8	NA	23	1.67		Live	1	1	1	1N13-16											
2013	December	19		H	F1	1	NA	20	0.75	NA	Live	1	1	1	1H1-4											
2013	December	19		H	F1	2	NA	18	0.65	NA	Live	1	1	1	1H1-4											
2013	December	19		H	F1	3	NA	23	1.24	NA	Live	1	1	1	1H1-4											
2013	December	19		H	F1	4	NA	22	1.42	NA	Live	1	1	1	1H1-4											
2013	December	19		H	F1	5	NA	21	1.45	NA	Live	1	1	1	1H1-4											
2013	December	19		H	F1	6	NA	26	1.36	NA	Live	1	1	1	1H1-4											
2013	December	19		H	F1	7	NA	22	1.5	NA	Live	1	1	1	1H1-4											
2013	December	19		H	F1	8	NA	22	1.3	NA	Live	1	1	1	1H1-4											
2013	December	19		H	F1	1	NA	20	0.86	NA	Live	1	1	1	1H5-8											
2013	December	19		H	F1	2	NA	27	2.57	NA	Live	1	1	1	1H5-8											
2013	December	19		H	F1	3	NA	21	1.23	NA	Live	1	1	1	1H5-8											
2013	December	19		H	F1	4	NA	18	0.75	NA	Live	1	1	1	1H5-8											
2013	December	19		H	F1	5	NA	16	0.58	NA	Live	1	1	1	1H5-8											
2013	December	19		H	F1	6	NA	22	1.22	NA	Live	1	1	1	1H5-8											
2013	December	19		H	F1	7	NA	21	0.96	NA	Live	1	1	1	1H5-8											
2013	December	19		H	F1	8	NA	18	0.84	NA	Live	1	1	1	1H5-8											
2013	December	19		H	F1	1	NA	20	1.13	NA	Live	1	1	1	1H9-12											
2013	December	19		H	F1	2	NA	19	0.92	NA	Live	1	1	1	1H9-12											
2013	December	19		H	F1	3	NA	16	0.53	NA	Live	1	1	1	1H9-12											
2013	December	19		H	F1	4	NA	15	0.56	NA	Live	1	1	1	1H9-12											
2013	December	19		H	F1	5	NA	22	0.73	NA	Live	1	1	1	1H9-12											
2013	December	19		H	F1	6	NA	26	1.28	NA	Live	1	1	1	1H9-12											
2013	December	19		H	F1	7	NA	20	1.06	NA	Live	1	1	1	1H9-12											
2013	December	19		H	F1	8	NA	16	0.5	NA	Live	1	1	1	1H9-12											
2013	December	19		H	F1	1	NA	18	0.67	NA	Live	1	1	1	1H13-16											
2013	December	19		H	F1	2	NA	24	1.67	NA	Live	1	1	1	1H13-16											
2013	December	19		H	F1	3	NA	20	0.9	NA	Live	1	1	1	1H13-16											
2013	December	19		H	F1	4	NA	23	1.54	NA	Live	1	1	1	1H13-16											
2013	December	19		H	F1	5	NA	20	0.89	NA	Live	1	1	1	1H13-16											
2013	December	19		H	F1	6	NA	22	0.99	NA	Live	1	1	1	1H13-16											
2013	December	19		H	F1	7	NA	24	1.63	NA	Live	1	1	1	1H13-16											
2013	December	19		H	F1	8	NA	26	1.81	NA	Live	1	1	1	1H13-16											
2013	December	19		S	F1	1	NA	17	0.65	NA	Live	1	1	1	1S1-4											
2013	December	19		S	F1	2	NA	20	0.86	NA	Live	1	1	1	1S1-4											
2013	December	19		S	F1	3	NA	23	1.73	NA	Live	1	1	1	1S1-4											
2013	December	19		S	F1	4	NA	20	1.1	NA	Live	1	1	1	1S1-4											
2013	December	19		S	F1	5	NA	21	1.14	NA	Live	1	1	1	1S1-4											
2013	December	19		S	F1	6	NA	21	1.32	NA	Live	1	1	1	1S1-4											
2013	December	19		S	F1	7	NA	24	1.32	NA	Live	1	1	1	1S1-4											
2013	December	19		S	F1	8	NA	25	1.18	NA	Live	1	1	1	1S1-4											
