Contig	FOUR	THOUS
ruditapes2_c1104	12	8
ruditapes2_c1105	7	10
ruditapes2_c1106	1	2
ruditapes2_c1107	0	0
ruditapes2_c1108	7	14
ruditapes2_c1109	3	3
ruditapes2_c111	0	0
ruditapes2_c1110	0	0
ruditapes2_c1111	0	0
ruditapes2_c1112	1	0
ruditapes2_c1113	31	80
ruditapes2_c1114	4	6
ruditapes2_c1115	0	0
ruditapes2_c1116	4	1
ruditapes2_c1117	11	12
ruditapes2_c1118	1	1
ruditapes2_c1119	0	0
ruditapes2_c112	0	0
ruditapes2_c1120	29	28
ruditapes2_c1121	57	48
ruditapes2_c1122	1	1
ruditapes2_c1123	4	7
ruditapes2_c1124	1	2
ruditapes2_c1125	3	5
ruditapes2_c1126	0	0
ruditapes2_c1127	0	0
ruditapes2_c1128	2	1
ruditapes2_c1129	4	6
ruditapes2_c113	39	52
ruditapes2_c1130	5	7
ruditapes2_c1131	23	23
ruditapes2_c1132	3	0
ruditapes2_c1133	7	6
ruditapes2_c1134	3	10
ruditapes2_c1135	2	2
ruditapes2_c1136	6	13
ruditapes2_c1137	8	10
ruditapes2_c1138	0	1
ruditapes2_c1139	0	0
ruditapes2_c114	42	56
ruditapes2_c1140	3	6
ruditapes2_c1141	9	29
ruditapes2_c1142	2	6
ruditapes2_c1143	138	263
ruditapes2_c1144	1	1
ruditapes2_c1145	2	6
ruditapes2_c1146	1	0
ruditapes2_c1147	3	3
ruditapes2_c1148	0	0
ruditapes2_c1149	0	0
ruditapes2_c115	8	7
ruditapes2_c1150	0	0
ruditapes2_c1151	11	12
ruditapes2_c1152	16	25
ruditapes2_c1153	1	3
ruditapes2_c1154	0	0
ruditapes2_c1155	1	1
ruditapes2_c1156	7	6
ruditapes2_c1157	1	1
ruditapes2_c1158	0	0
ruditapes2_c1159	1	2
ruditapes2_c116	5	8
ruditapes2_c1160	3	5
ruditapes2_c1161	72	208
ruditapes2_c1162	0	0
ruditapes2_c1163	122	368
ruditapes2_c1164	12	24
ruditapes2_c1165	3	3
ruditapes2_c1166	3	6
ruditapes2_c1167	19	44
ruditapes2_c1168	13	24
ruditapes2_c1169	21	26
ruditapes2_c117	0	0
ruditapes2_c1170	3	3
ruditapes2_c1171	1	4
ruditapes2_c1172	1	0
ruditapes2_c1173	5	5
ruditapes2_c1174	9	14
ruditapes2_c1175	15	36
ruditapes2_c1176	3	7
ruditapes2_c1177	0	0
ruditapes2_c1178	7	6
ruditapes2_c1179	0	1
ruditapes2_c118	8	11
ruditapes2_c1180	1	1
ruditapes2_c1181	0	0
ruditapes2_c1182	11	11
ruditapes2_c1183	9	27
ruditapes2_c1184	18	26
ruditapes2_c1185	15	11
ruditapes2_c1186	0	0
ruditapes2_c1187	1	6
ruditapes2_c1188	1	1
ruditapes2_c1189	9	10
ruditapes2_c119	72	99
ruditapes2_c1190	98	221
ruditapes2_c1191	38	55
ruditapes2_c1192	0	1
ruditapes2_c1193	6	5
ruditapes2_c1194	89	278
ruditapes2_c1195	1	3
ruditapes2_c1196	1	4
ruditapes2_c1197	1	2
ruditapes2_c1198	0	0
ruditapes2_c1199	0	0
ruditapes2_c12	0	0
ruditapes2_c120	84	95
ruditapes2_c1200	13	31
ruditapes2_c1201	2	3
ruditapes2_c1202	13	17
ruditapes2_c1203	15	24
ruditapes2_c1204	4	8
ruditapes2_c1205	32	52
ruditapes2_c1206	27	48
ruditapes2_c1207	0	0
ruditapes2_c1208	0	0
ruditapes2_c1209	2	0
ruditapes2_c121	8	17
ruditapes2_c1210	2	2
ruditapes2_c1211	1	1
ruditapes2_c1212	3	3
ruditapes2_c1213	0	0
ruditapes2_c1214	10	7
ruditapes2_c1215	1	1
ruditapes2_c1216	4	5
ruditapes2_c1217	6	19
ruditapes2_c1218	5	24
ruditapes2_c1219	0	0
ruditapes2_c122	4	12
ruditapes2_c1220	9	14
ruditapes2_c1221	0	0
ruditapes2_c1222	3	5
ruditapes2_c1223	9	33
ruditapes2_c1224	48	50
ruditapes2_c1225	0	0
ruditapes2_c1226	1	4
ruditapes2_c1227	7	26
ruditapes2_c1228	3	5
ruditapes2_c1229	8	5
ruditapes2_c123	10	15
ruditapes2_c1230	1	1
ruditapes2_c1231	32	51
ruditapes2_c1232	0	0
ruditapes2_c1233	5	3
ruditapes2_c1234	4	3
ruditapes2_c1235	2	2
ruditapes2_c1236	9	6
ruditapes2_c1237	7	14
ruditapes2_c1238	1	5
ruditapes2_c1239	9	51
ruditapes2_c124	1	0
ruditapes2_c1240	19	19
ruditapes2_c1241	2	3
ruditapes2_c1242	0	0
ruditapes2_c1243	0	1
ruditapes2_c1244	0	0
ruditapes2_c1245	1	1
ruditapes2_c1246	1	2
ruditapes2_c1247	0	0
ruditapes2_c1248	11	21
ruditapes2_c1249	0	0
ruditapes2_c125	0	0
ruditapes2_c1250	6	4
ruditapes2_c1251	11	26
ruditapes2_c1252	1	1
ruditapes2_c1253	1	5
ruditapes2_c1254	0	0
ruditapes2_c1255	1	1
ruditapes2_c1256	0	1
ruditapes2_c1257	2	8
ruditapes2_c1258	4	8
ruditapes2_c1259	25	39
ruditapes2_c126	3	2
ruditapes2_c1260	10	4
ruditapes2_c1261	0	0
ruditapes2_c1262	0	0
ruditapes2_c1263	19	11
ruditapes2_c1264	46	104
ruditapes2_c1265	4	12
ruditapes2_c1266	2	2
ruditapes2_c1267	0	0
ruditapes2_c1268	12	8
ruditapes2_c1269	2	46
ruditapes2_c127	1	3
ruditapes2_c1270	6	6
ruditapes2_c1271	16	36
ruditapes2_c1272	1	3
ruditapes2_c1273	7	10
ruditapes2_c1274	1	1
ruditapes2_c1275	18	37
ruditapes2_c1276	8	11
ruditapes2_c1277	9	7
ruditapes2_c1278	1	1
ruditapes2_c1279	651	523
ruditapes2_c128	20	15
ruditapes2_c1280	21	29
ruditapes2_c1281	1	2
ruditapes2_c1282	0	0
ruditapes2_c1283	169	206
ruditapes2_c1284	2	2
ruditapes2_c1285	8	21
ruditapes2_c1286	8	7
ruditapes2_c1287	2	3
ruditapes2_c1288	28	70
ruditapes2_c1289	2	12
ruditapes2_c129	15	49
ruditapes2_c1290	25	29
ruditapes2_c1291	1	3
ruditapes2_c1292	7	11
ruditapes2_c1293	3	5
ruditapes2_c1294	0	0
ruditapes2_c1295	19	16
ruditapes2_c1296	1	1
ruditapes2_c1297	0	0
ruditapes2_c1298	25	35
ruditapes2_c1299	6	19
ruditapes2_c13	23	34
ruditapes2_c130	3	5
ruditapes2_c1300	4	4
ruditapes2_c1301	9	13
ruditapes2_c1302	0	0
ruditapes2_c1303	9	29
ruditapes2_c1304	3	5
ruditapes2_c1305	0	0
ruditapes2_c1306	0	3
ruditapes2_c1307	27	42
ruditapes2_c1308	45	65
ruditapes2_c1309	3	4
ruditapes2_c131	6	8
ruditapes2_c1310	2	3
ruditapes2_c1311	1	0
ruditapes2_c1312	0	0
ruditapes2_c1313	13	15
ruditapes2_c1314	3	12
ruditapes2_c1315	3	3
ruditapes2_c1316	1	0
ruditapes2_c1317	9	13
ruditapes2_c1318	1	1
ruditapes2_c1319	18	29
ruditapes2_c132	6	18
ruditapes2_c1320	0	0
ruditapes2_c1321	0	0
ruditapes2_c1322	0	0
ruditapes2_c1323	9	34
ruditapes2_c1324	23	45
ruditapes2_c1325	55	153
ruditapes2_c1326	0	0
ruditapes2_c1327	2	3
ruditapes2_c1328	30	37
ruditapes2_c1329	88	162
ruditapes2_c133	5	7
ruditapes2_c1330	7	13
ruditapes2_c1331	60	42
ruditapes2_c1332	17	22
ruditapes2_c1333	6	13
ruditapes2_c1334	9	10
ruditapes2_c1335	2	10
ruditapes2_c1336	0	0
ruditapes2_c1337	2	6
ruditapes2_c1338	5	5
ruditapes2_c1339	0	0
ruditapes2_c134	6	15
ruditapes2_c1340	15	99
ruditapes2_c1341	3	1
ruditapes2_c1342	9	17
ruditapes2_c1343	0	0
ruditapes2_c1344	22	41
ruditapes2_c1345	3	10
ruditapes2_c1346	6	10
ruditapes2_c1347	9	69
ruditapes2_c1348	21	63
ruditapes2_c1349	0	0
ruditapes2_c135	0	0
ruditapes2_c1350	11	17
ruditapes2_c1351	10	17
ruditapes2_c1352	3	3
ruditapes2_c1353	0	0
ruditapes2_c1354	62	32
ruditapes2_c1355	6	6
ruditapes2_c1356	39	155
ruditapes2_c1357	15	13
ruditapes2_c1358	0	1
ruditapes2_c1359	14	26
ruditapes2_c136	1	2
ruditapes2_c1360	44	54
ruditapes2_c1361	9	17
ruditapes2_c1362	42	35
ruditapes2_c1363	2	1
ruditapes2_c1364	23	44
ruditapes2_c1365	15	20
ruditapes2_c1366	0	0
ruditapes2_c1367	8	9
ruditapes2_c1368	106	212
ruditapes2_c1369	0	1
ruditapes2_c137	8	19
ruditapes2_c1370	48	60
ruditapes2_c1371	14	26
ruditapes2_c1372	8	12
ruditapes2_c1373	52	135
ruditapes2_c1374	0	0
ruditapes2_c1375	3	3
ruditapes2_c1376	9	22
ruditapes2_c1377	13	17
ruditapes2_c1378	0	0
ruditapes2_c1379	0	0
ruditapes2_c138	34	54
ruditapes2_c1380	2	5
ruditapes2_c1381	11	11
ruditapes2_c1382	0	2
ruditapes2_c1383	15	3
ruditapes2_c1384	0	0
ruditapes2_c1385	14	37
ruditapes2_c1386	1	1
ruditapes2_c1387	1	1
ruditapes2_c1388	0	1
ruditapes2_c1389	0	0
ruditapes2_c139	3	3
ruditapes2_c1390	2	5
ruditapes2_c1391	28	53
ruditapes2_c1392	9	20
ruditapes2_c1393	54	69
ruditapes2_c1394	1	14
ruditapes2_c1395	11	13
ruditapes2_c1396	0	0
ruditapes2_c1397	0	0
ruditapes2_c1398	1	3
ruditapes2_c1399	8	8
ruditapes2_c14	0	0
ruditapes2_c140	16	23
ruditapes2_c1400	2	2
ruditapes2_c1401	1	2
ruditapes2_c1402	0	0
ruditapes2_c1403	0	0
ruditapes2_c1404	342	357
ruditapes2_c1405	0	0
ruditapes2_c1406	1	2
ruditapes2_c1407	14	14
ruditapes2_c1408	0	1
ruditapes2_c1409	7	8
ruditapes2_c141	2	3
ruditapes2_c1410	19	23
ruditapes2_c1411	30	57
ruditapes2_c1412	1	1
ruditapes2_c1413	7	7
ruditapes2_c1414	18	32
ruditapes2_c1415	1	0
ruditapes2_c1416	2	2
ruditapes2_c1417	22	29
ruditapes2_c1418	0	0
ruditapes2_c1419	0	0
ruditapes2_c142	441	704
ruditapes2_c1420	0	0
ruditapes2_c1421	1	0
ruditapes2_c1422	21	26
ruditapes2_c1423	0	0
ruditapes2_c1424	4	4
ruditapes2_c1425	0	0
ruditapes2_c1426	8	20
ruditapes2_c1427	0	0
ruditapes2_c1428	13	22
ruditapes2_c1429	10	52
ruditapes2_c143	3	6
ruditapes2_c1430	45	118
ruditapes2_c1431	4	7
ruditapes2_c1432	6	8
ruditapes2_c1433	13	24
ruditapes2_c1434	3	2
ruditapes2_c1435	4	8
ruditapes2_c1436	0	0
ruditapes2_c1437	37	72
ruditapes2_c1438	4	5
ruditapes2_c1439	66	193
ruditapes2_c144	0	0
ruditapes2_c1440	2	2
ruditapes2_c1441	4	5
ruditapes2_c1442	4	5
ruditapes2_c1443	0	0
ruditapes2_c1444	3	4
ruditapes2_c1445	2	7
ruditapes2_c1446	1	2
ruditapes2_c1447	2	3
ruditapes2_c1448	0	0
ruditapes2_c1449	4	7
ruditapes2_c145	14	18
ruditapes2_c1450	27	31
ruditapes2_c1451	0	1
ruditapes2_c1452	4	6
ruditapes2_c1453	53	61
ruditapes2_c1454	14	21
ruditapes2_c1455	11	29
ruditapes2_c1456	1	1
ruditapes2_c1457	6	6
ruditapes2_c1458	1	0
ruditapes2_c1459	5	10
ruditapes2_c146	19	43
ruditapes2_c1460	0	1
ruditapes2_c1461	12	11
ruditapes2_c1462	10	12
ruditapes2_c1463	14	7
ruditapes2_c1464	3	4
ruditapes2_c1465	1	0
ruditapes2_c1466	2	1
ruditapes2_c1467	2	3
ruditapes2_c1468	17	22
ruditapes2_c1469	3	7
ruditapes2_c147	281	901
ruditapes2_c1470	0	0
ruditapes2_c1471	6	21
ruditapes2_c1472	5	4
ruditapes2_c1473	38	50
ruditapes2_c1474	4	4
ruditapes2_c1475	5	11
ruditapes2_c1476	1	1
ruditapes2_c1477	5	4
ruditapes2_c1478	1	1
ruditapes2_c1479	0	0
ruditapes2_c148	22	23
ruditapes2_c1480	50	87
ruditapes2_c1481	0	0
ruditapes2_c1482	1	1
ruditapes2_c1483	9	13
ruditapes2_c1484	3	10
ruditapes2_c1485	12	8
ruditapes2_c1486	33	107
ruditapes2_c1487	1	1
ruditapes2_c1488	2	6
ruditapes2_c1489	31	43
ruditapes2_c149	7	10
ruditapes2_c1490	3	8
ruditapes2_c1491	1	1
ruditapes2_c1492	1	1
ruditapes2_c1493	1	5
ruditapes2_c1494	42	46
ruditapes2_c1495	2	3
ruditapes2_c1496	5	8
ruditapes2_c1497	7	5
ruditapes2_c1498	1	6
ruditapes2_c1499	4	8
ruditapes2_c15	4	16
ruditapes2_c150	0	0
ruditapes2_c1500	39	97
ruditapes2_c1501	0	0
ruditapes2_c1502	0	0
ruditapes2_c1503	39	95
ruditapes2_c1504	35	56
ruditapes2_c1505	10	14
ruditapes2_c1506	2	0
ruditapes2_c1507	0	0
ruditapes2_c1508	1	2
ruditapes2_c1509	1	0
ruditapes2_c151	204	255
ruditapes2_c1510	27	43
ruditapes2_c1511	35	146
ruditapes2_c1512	9	19
ruditapes2_c1513	12	35
ruditapes2_c1514	131	429
ruditapes2_c1515	1	3
ruditapes2_c1516	0	2
ruditapes2_c1517	34	146
ruditapes2_c1518	0	0
ruditapes2_c1519	1	2
ruditapes2_c152	13	21
ruditapes2_c1520	11	15
ruditapes2_c1521	10	17
ruditapes2_c1522	17	60
ruditapes2_c1523	1	1
ruditapes2_c1524	6	5
ruditapes2_c1525	0	0
ruditapes2_c1526	0	0
ruditapes2_c1527	1	7
ruditapes2_c1528	31	51
ruditapes2_c1529	8	17
ruditapes2_c153	3	7
ruditapes2_c1530	0	0
ruditapes2_c1531	1	3
ruditapes2_c1532	12	23
ruditapes2_c1533	1	0
ruditapes2_c1534	1	0
ruditapes2_c1535	145	518
ruditapes2_c1536	4	3
ruditapes2_c1537	2	3
ruditapes2_c1538	11	27
ruditapes2_c1539	3	27
ruditapes2_c154	8	11
ruditapes2_c1540	1	0
ruditapes2_c1541	4	4
ruditapes2_c1542	12	17
ruditapes2_c1543	130	358
ruditapes2_c1544	8	73
ruditapes2_c1545	1	2
ruditapes2_c1549	5	6
ruditapes2_c155	0	0
ruditapes2_c1553	2	8
ruditapes2_c1555	7	13
ruditapes2_c1558	13	21
ruditapes2_c1559	73	114
ruditapes2_c156	54	64
ruditapes2_c1561	5	6
ruditapes2_c1562	4	6
ruditapes2_c1563	10	19
ruditapes2_c1564	51	63
ruditapes2_c1566	0	0
ruditapes2_c1567	8	11
ruditapes2_c1568	4	4
ruditapes2_c1569	8	5
ruditapes2_c157	247	277
ruditapes2_c1570	91	114
ruditapes2_c1571	5	10
ruditapes2_c1572	4	5
ruditapes2_c1573	3	6
ruditapes2_c1574	16	17
ruditapes2_c1575	10	28
ruditapes2_c1576	4	4
ruditapes2_c1577	14	19
ruditapes2_c1578	1	1
ruditapes2_c1579	0	1
ruditapes2_c158	14	19
ruditapes2_c1580	0	0
ruditapes2_c1581	0	1
ruditapes2_c1582	11	13
ruditapes2_c1583	1	0
ruditapes2_c1584	1	2
ruditapes2_c1585	1	2
ruditapes2_c1586	2	1
ruditapes2_c1587	1	2
ruditapes2_c1588	17	27
ruditapes2_c1589	9	17
ruditapes2_c159	4	3
ruditapes2_c1590	10	9
ruditapes2_c1591	29	44
ruditapes2_c1592	37	46
ruditapes2_c1593	0	0
ruditapes2_c1594	0	1
ruditapes2_c1595	1	1
ruditapes2_c1596	2	5
ruditapes2_c1598	0	1
ruditapes2_c16	10	54
ruditapes2_c160	358	257
ruditapes2_c1600	2	4
ruditapes2_c1601	0	0
ruditapes2_c1602	0	0
ruditapes2_c1605	14	15
ruditapes2_c1606	5	4
ruditapes2_c1607	8	15
ruditapes2_c1608	23	43
ruditapes2_c1609	12	13
ruditapes2_c161	5	1
ruditapes2_c1610	4	7
ruditapes2_c1611	3	3
ruditapes2_c1612	0	0
ruditapes2_c1613	5	16
ruditapes2_c1614	217	212
ruditapes2_c1615	5	8
ruditapes2_c1616	2	3
ruditapes2_c1617	1	2
ruditapes2_c1618	7	21
ruditapes2_c1619	0	0
ruditapes2_c162	4	3
ruditapes2_c1620	0	1
ruditapes2_c1621	0	0
ruditapes2_c1622	3	4
ruditapes2_c1623	0	0
ruditapes2_c1624	62	148
ruditapes2_c1625	0	0
ruditapes2_c1627	2	4
ruditapes2_c1628	5	8
ruditapes2_c1629	2	4
ruditapes2_c163	25	50
ruditapes2_c1633	1	3
ruditapes2_c1634	4	16
ruditapes2_c1635	5	14
ruditapes2_c1636	96	89
ruditapes2_c1637	1	2
ruditapes2_c1638	1	2
ruditapes2_c1639	1	0
ruditapes2_c164	4	3
ruditapes2_c1640	2	2
ruditapes2_c1641	0	1
ruditapes2_c1642	2	2
ruditapes2_c1645	0	1
ruditapes2_c1646	6	8
ruditapes2_c1648	0	0
ruditapes2_c1649	0	1
ruditapes2_c165	0	0
ruditapes2_c1650	1	0
ruditapes2_c1651	5	8
ruditapes2_c1652	1	1
ruditapes2_c1653	0	0
ruditapes2_c1654	5	8
ruditapes2_c1655	34	34
ruditapes2_c1656	35	83
ruditapes2_c1657	1	1
ruditapes2_c1658	0	1
ruditapes2_c1659	1	0
ruditapes2_c166	0	0
ruditapes2_c1660	1	0
ruditapes2_c1661	1	1
ruditapes2_c1662	7	39
ruditapes2_c1663	2	19
ruditapes2_c1664	25	49
ruditapes2_c1665	3	4
ruditapes2_c1666	0	0
ruditapes2_c1667	1	2
ruditapes2_c1668	12	21
ruditapes2_c1669	0	0
ruditapes2_c167	2	4
ruditapes2_c1670	0	0
ruditapes2_c1671	21	22
ruditapes2_c1672	0	0
ruditapes2_c1673	8	11
ruditapes2_c1674	4	6
ruditapes2_c1676	3	2
ruditapes2_c1677	24	55
ruditapes2_c1678	0	0
ruditapes2_c1679	0	1
ruditapes2_c168	11	17
ruditapes2_c1680	2	0
ruditapes2_c1681	0	0
ruditapes2_c1682	0	0
ruditapes2_c1683	32	138
ruditapes2_c1684	3	4
ruditapes2_c1685	0	1
ruditapes2_c1686	1	0
ruditapes2_c1687	1	3
ruditapes2_c1688	4	4
ruditapes2_c1689	2	3
ruditapes2_c169	2	3
ruditapes2_c1690	0	0
ruditapes2_c1691	0	0
ruditapes2_c1692	13	13
ruditapes2_c1693	1	1
ruditapes2_c1694	11	12
ruditapes2_c1695	5	8
ruditapes2_c1696	37	61
ruditapes2_c1697	4	9
ruditapes2_c1698	2	5
ruditapes2_c1699	0	1
ruditapes2_c17	10	18
ruditapes2_c170	12	10
ruditapes2_c1700	104	234
ruditapes2_c1701	22	62
ruditapes2_c1703	0	0
ruditapes2_c1704	9	18
ruditapes2_c1706	68	91
ruditapes2_c1707	9	17
ruditapes2_c1708	7	14
ruditapes2_c1709	5	9
ruditapes2_c171	0	0
ruditapes2_c1710	0	1
ruditapes2_c1711	34	84
ruditapes2_c1712	5	4
ruditapes2_c1713	6	39
ruditapes2_c1714	3	7
ruditapes2_c1715	13	14
ruditapes2_c1716	29	46
ruditapes2_c1717	1	1
ruditapes2_c1718	3	3
ruditapes2_c1719	26	103
ruditapes2_c172	1	3
ruditapes2_c1720	0	0
ruditapes2_c1721	0	0
ruditapes2_c1722	0	0
ruditapes2_c1723	28	25
ruditapes2_c1724	0	0
ruditapes2_c1725	1	1
ruditapes2_c1726	0	0
ruditapes2_c1727	9	9
ruditapes2_c1728	0	0
ruditapes2_c1729	3	2
ruditapes2_c173	0	0
ruditapes2_c1730	14	10
ruditapes2_c1731	24	54
ruditapes2_c1732	4	5
ruditapes2_c1733	0	0
ruditapes2_c1734	92	279
ruditapes2_c1735	33	40
ruditapes2_c1736	0	0
ruditapes2_c1737	0	2
ruditapes2_c1738	0	0
ruditapes2_c1739	0	2
ruditapes2_c174	0	0
ruditapes2_c1740	10	21
ruditapes2_c1742	0	0
ruditapes2_c1743	5	4
ruditapes2_c1744	0	0
ruditapes2_c1745	0	2
ruditapes2_c1746	0	1
ruditapes2_c1747	5	10
ruditapes2_c1748	0	0
ruditapes2_c1749	8	11
ruditapes2_c175	0	0
ruditapes2_c1750	0	0
ruditapes2_c1751	0	0
ruditapes2_c1752	4	7
ruditapes2_c1753	8	11
ruditapes2_c1754	7	14
ruditapes2_c1755	29	58
ruditapes2_c1756	0	0
ruditapes2_c1757	0	0
ruditapes2_c1758	2	7
ruditapes2_c1759	39	52
ruditapes2_c176	1	3
ruditapes2_c1760	2	1
ruditapes2_c1761	18	73
ruditapes2_c1762	9	10
ruditapes2_c1764	6	30
ruditapes2_c1765	0	0
ruditapes2_c1766	3	5
ruditapes2_c1767	2	2
ruditapes2_c1768	15	29
ruditapes2_c1769	2	1
ruditapes2_c177	3	5
ruditapes2_c1770	1	1
ruditapes2_c1771	0	0
ruditapes2_c1772	13	23
ruditapes2_c1773	30	56
ruditapes2_c1774	71	51
ruditapes2_c1775	0	0
ruditapes2_c1776	4	13
ruditapes2_c1777	37	39
ruditapes2_c1778	11	13
ruditapes2_c1779	3	7
ruditapes2_c178	0	0
ruditapes2_c1780	0	0
ruditapes2_c1781	0	0
ruditapes2_c1782	7	7
ruditapes2_c1783	1	1
ruditapes2_c1784	6	14
ruditapes2_c1785	1	1
ruditapes2_c1786	0	0
ruditapes2_c1787	1	3
ruditapes2_c1788	43	86
ruditapes2_c1789	1	2
ruditapes2_c179	3	6
ruditapes2_c1790	1	2
ruditapes2_c1791	6	11
ruditapes2_c1792	0	0
ruditapes2_c1793	0	0
ruditapes2_c1794	9	10
ruditapes2_c1795	1	2
ruditapes2_c1796	2	5
ruditapes2_c1797	0	1
ruditapes2_c1798	1	2
ruditapes2_c1799	2	4
ruditapes2_c18	242	340
ruditapes2_c180	3	4
ruditapes2_c1800	3	3
ruditapes2_c1801	15	18
ruditapes2_c1802	4	10
ruditapes2_c1804	7	5
ruditapes2_c1805	6	6
ruditapes2_c1806	3	5
ruditapes2_c1807	1	6
ruditapes2_c1808	2	2
ruditapes2_c1809	0	0
ruditapes2_c181	1	0
ruditapes2_c1810	1	0
ruditapes2_c1811	1	1
ruditapes2_c1812	13	60
ruditapes2_c1813	1	2
ruditapes2_c1814	1	2
ruditapes2_c1815	0	0
ruditapes2_c1816	13	27
ruditapes2_c1817	0	0
ruditapes2_c1818	14	10
ruditapes2_c1819	25	42
ruditapes2_c182	1	1
ruditapes2_c1820	1	1
ruditapes2_c1821	1	0
ruditapes2_c1822	3	4
ruditapes2_c1823	4	6
ruditapes2_c1824	3	6
ruditapes2_c1825	0	0
ruditapes2_c1826	1	2
ruditapes2_c1827	0	1
ruditapes2_c1828	0	0
ruditapes2_c1829	7	24
ruditapes2_c183	5	19
ruditapes2_c1830	0	0
ruditapes2_c1831	25	48
ruditapes2_c1832	0	0
ruditapes2_c1833	2	3
ruditapes2_c1834	8	10
ruditapes2_c1835	1	5
ruditapes2_c1836	3	3
ruditapes2_c1837	0	1
ruditapes2_c1838	1	3
ruditapes2_c1839	5	5
ruditapes2_c184	7	15
ruditapes2_c1840	1	1
ruditapes2_c1841	1	5
ruditapes2_c1842	1	2
ruditapes2_c1843	5	7
ruditapes2_c1844	0	0
ruditapes2_c1845	1	1
ruditapes2_c1846	7	20
ruditapes2_c1847	0	2
ruditapes2_c1848	20	27
ruditapes2_c1849	0	0
ruditapes2_c185	55	87
ruditapes2_c1850	0	0
ruditapes2_c1851	0	0
ruditapes2_c1852	1	4
ruditapes2_c1853	3	4
ruditapes2_c1854	6	5
ruditapes2_c1855	3	6
ruditapes2_c1856	2	2
ruditapes2_c1857	0	1
ruditapes2_c1858	5	8
ruditapes2_c1859	0	2
ruditapes2_c186	12	12
ruditapes2_c1860	9	11
ruditapes2_c1861	30	32
ruditapes2_c1862	4	3
ruditapes2_c1863	8	8
ruditapes2_c1864	7	9
ruditapes2_c1865	3	7
ruditapes2_c1866	2	5
ruditapes2_c1867	0	0
