Contig	FOUR	THOUS
ruditapes2_c1	3992	4734
ruditapes2_c10	65	13
ruditapes2_c100	5	6
ruditapes2_c1000	2	3
ruditapes2_c1001	2	2
ruditapes2_c1002	0	0
ruditapes2_c1003	0	0
ruditapes2_c1004	0	0
ruditapes2_c1005	0	1
ruditapes2_c1006	25	35
ruditapes2_c1007	44	70
ruditapes2_c1008	185	223
ruditapes2_c1009	24	18
ruditapes2_c101	39	59
ruditapes2_c1010	0	0
ruditapes2_c1011	0	0
ruditapes2_c1012	1	5
ruditapes2_c1013	0	0
ruditapes2_c1014	3	5
ruditapes2_c1015	0	1
ruditapes2_c1016	1	2
ruditapes2_c1017	1	1
ruditapes2_c1018	14	16
ruditapes2_c1019	0	0
ruditapes2_c102	1	2
ruditapes2_c1020	0	0
ruditapes2_c1021	1	0
ruditapes2_c1022	1	3
ruditapes2_c1023	1	1
ruditapes2_c1024	14	37
ruditapes2_c1025	1	1
ruditapes2_c1026	0	2
ruditapes2_c1027	29	79
ruditapes2_c1028	0	0
ruditapes2_c1029	97	325
ruditapes2_c103	20	56
ruditapes2_c1030	0	0
ruditapes2_c1031	4	3
ruditapes2_c1032	1	1
ruditapes2_c1033	0	0
ruditapes2_c1034	0	0
ruditapes2_c1035	2	1
ruditapes2_c1036	3	3
ruditapes2_c1037	15	34
ruditapes2_c1038	3	4
ruditapes2_c1039	1	2
ruditapes2_c104	0	1
ruditapes2_c1040	31	41
ruditapes2_c1041	1	1
ruditapes2_c1042	9	13
ruditapes2_c1043	250	402
ruditapes2_c1044	78	143
ruditapes2_c1045	0	0
ruditapes2_c1046	1	4
ruditapes2_c1047	0	1
ruditapes2_c1048	0	2
ruditapes2_c1049	48	45
ruditapes2_c105	2	2
ruditapes2_c1050	3	8
ruditapes2_c1051	6	29
ruditapes2_c1052	0	0
ruditapes2_c1053	3	3
ruditapes2_c1054	0	0
ruditapes2_c1055	0	0
ruditapes2_c1056	126	260
ruditapes2_c1057	9	12
ruditapes2_c1058	2	5
ruditapes2_c1059	9	19
ruditapes2_c106	0	3
ruditapes2_c1060	185	410
ruditapes2_c1061	2	2
ruditapes2_c1062	4	3
ruditapes2_c1063	1	0
ruditapes2_c1064	0	0
ruditapes2_c1065	3	7
ruditapes2_c1066	2	4
ruditapes2_c1067	0	0
ruditapes2_c1068	53	39
ruditapes2_c1069	4	5
ruditapes2_c107	0	2
ruditapes2_c1070	1	2
ruditapes2_c1071	1	1
ruditapes2_c1072	8	15
ruditapes2_c1073	9	18
ruditapes2_c1074	0	0
ruditapes2_c1075	25	8
ruditapes2_c1076	28	95
ruditapes2_c1077	7	5
ruditapes2_c1078	31	59
ruditapes2_c1079	99	85
ruditapes2_c108	90	106
ruditapes2_c1080	9	10
ruditapes2_c1081	35	46
ruditapes2_c1082	3	4
ruditapes2_c1083	4	3
ruditapes2_c1084	19	68
ruditapes2_c1085	4	5
ruditapes2_c1086	18	66
ruditapes2_c1087	5	11
ruditapes2_c1088	12	29
ruditapes2_c1089	17	16
ruditapes2_c109	21	142
ruditapes2_c1090	16	21
ruditapes2_c1091	2	2
ruditapes2_c1092	0	0
ruditapes2_c1093	8	13
ruditapes2_c1094	124	130
ruditapes2_c1095	2	4
ruditapes2_c1096	0	1
ruditapes2_c1097	1	4
ruditapes2_c1098	15	38
ruditapes2_c1099	7	2
ruditapes2_c11	6	1
ruditapes2_c110	71	67
ruditapes2_c1100	8	18
ruditapes2_c1101	2	1
ruditapes2_c1102	0	0
ruditapes2_c1103	78	155
