Contig	BARN	MASH
Mmercenaria_contig_1158	395	639
Mmercenaria_contig_1159	103	64
Mmercenaria_contig_116	412	231
Mmercenaria_contig_1160	499	99
Mmercenaria_contig_1161	454	241
Mmercenaria_contig_1162	37	51
Mmercenaria_contig_1163	572	303
Mmercenaria_contig_1164	449	366
Mmercenaria_contig_1165	704	353
Mmercenaria_contig_1166	197	157
Mmercenaria_contig_1167	2154	996
Mmercenaria_contig_1168	126	71
Mmercenaria_contig_1169	1009	806
Mmercenaria_contig_117	87	61
Mmercenaria_contig_1170	479	375
Mmercenaria_contig_1171	47	68
Mmercenaria_contig_1172	94	114
Mmercenaria_contig_1173	411	279
Mmercenaria_contig_1174	459	287
Mmercenaria_contig_1175	639	464
Mmercenaria_contig_1176	538	359
Mmercenaria_contig_1177	317	342
Mmercenaria_contig_1178	270	384
Mmercenaria_contig_1179	1047	813
Mmercenaria_contig_118	88	120
Mmercenaria_contig_1180	580	463
Mmercenaria_contig_1181	432	471
Mmercenaria_contig_1182	46	88
Mmercenaria_contig_1183	138	75
Mmercenaria_contig_1184	137	143
Mmercenaria_contig_1185	88	86
Mmercenaria_contig_1186	150	120
Mmercenaria_contig_1187	1000	164
Mmercenaria_contig_1188	179	132
Mmercenaria_contig_1189	428	244
Mmercenaria_contig_119	119	69
Mmercenaria_contig_1190	832	673
Mmercenaria_contig_1191	63	55
Mmercenaria_contig_1192	148	72
Mmercenaria_contig_1193	334	278
Mmercenaria_contig_1194	622	408
Mmercenaria_contig_1195	503	156
Mmercenaria_contig_1196	36	26
Mmercenaria_contig_1197	358	260
Mmercenaria_contig_1198	39	12
Mmercenaria_contig_1199	95	66
Mmercenaria_contig_12	49	51
Mmercenaria_contig_120	159	105
Mmercenaria_contig_1200	431	146
Mmercenaria_contig_1201	285	388
Mmercenaria_contig_1202	111	62
Mmercenaria_contig_1203	215	433
Mmercenaria_contig_1204	346	210
Mmercenaria_contig_1205	883	898
Mmercenaria_contig_1206	292	253
Mmercenaria_contig_1207	107	76
Mmercenaria_contig_1208	225	135
Mmercenaria_contig_1209	35	71
Mmercenaria_contig_121	140	123
Mmercenaria_contig_1210	362	306
Mmercenaria_contig_1211	341	368
Mmercenaria_contig_1212	54	93
Mmercenaria_contig_1213	389	318
Mmercenaria_contig_1214	270	202
Mmercenaria_contig_1215	173	71
Mmercenaria_contig_1216	48	42
Mmercenaria_contig_1217	300	209
Mmercenaria_contig_1218	167	115
Mmercenaria_contig_1219	885	1018
Mmercenaria_contig_122	742	806
Mmercenaria_contig_1220	621	450
Mmercenaria_contig_1221	150	126
Mmercenaria_contig_1222	188	144
Mmercenaria_contig_1223	262	438
Mmercenaria_contig_1224	291	548
Mmercenaria_contig_1225	158	199
Mmercenaria_contig_1226	225	210
Mmercenaria_contig_1227	115	72
Mmercenaria_contig_1228	119	79
Mmercenaria_contig_1229	570	337
Mmercenaria_contig_123	133	138
Mmercenaria_contig_1230	262	244
Mmercenaria_contig_1231	166	61
Mmercenaria_contig_1232	362	289
Mmercenaria_contig_1233	194	209
Mmercenaria_contig_1234	59	85
Mmercenaria_contig_1235	53	33
Mmercenaria_contig_1236	396	207
Mmercenaria_contig_1237	346	359
Mmercenaria_contig_1238	61	32
Mmercenaria_contig_1239	666	491
Mmercenaria_contig_124	429	351
Mmercenaria_contig_1240	1996	805
Mmercenaria_contig_1241	84	68
Mmercenaria_contig_1242	163	77
Mmercenaria_contig_1243	608	314
Mmercenaria_contig_1244	344	239
Mmercenaria_contig_1245	667	514
Mmercenaria_contig_1246	689	587
Mmercenaria_contig_1247	345	254
Mmercenaria_contig_1248	64	46
Mmercenaria_contig_1249	181	175
Mmercenaria_contig_125	326	294
Mmercenaria_contig_1250	362	203
Mmercenaria_contig_1251	413	343
Mmercenaria_contig_1252	328	302
Mmercenaria_contig_1253	636	477
Mmercenaria_contig_1254	227	140
Mmercenaria_contig_1255	267	508
Mmercenaria_contig_1256	1021	277
Mmercenaria_contig_1257	329	224
Mmercenaria_contig_1258	410	346
Mmercenaria_contig_1259	1196	854
Mmercenaria_contig_126	75	51
Mmercenaria_contig_1260	907	454
Mmercenaria_contig_1261	371	358
Mmercenaria_contig_1262	72	77
Mmercenaria_contig_1263	200	185
Mmercenaria_contig_1264	257	264
Mmercenaria_contig_1265	91	73
Mmercenaria_contig_1266	461	359
Mmercenaria_contig_1267	254	190
Mmercenaria_contig_1268	85	151
Mmercenaria_contig_1269	398	284
Mmercenaria_contig_127	66	121
Mmercenaria_contig_1270	115	33
Mmercenaria_contig_1271	106	92
Mmercenaria_contig_1272	157	114
Mmercenaria_contig_1273	337	206
Mmercenaria_contig_1274	283	220
Mmercenaria_contig_1275	889	660
Mmercenaria_contig_1276	561	487
