Contig	BARN	MASH
Mmercenaria_contig_2378	266	119
Mmercenaria_contig_2379	228	113
Mmercenaria_contig_238	148	84
Mmercenaria_contig_2380	258	236
Mmercenaria_contig_2381	230	250
Mmercenaria_contig_2382	73	127
Mmercenaria_contig_2383	426	268
Mmercenaria_contig_2384	264	210
Mmercenaria_contig_2385	411	341
Mmercenaria_contig_2386	72	65
Mmercenaria_contig_2387	129	119
Mmercenaria_contig_2388	155	299
Mmercenaria_contig_2389	131	86
Mmercenaria_contig_239	60	74
Mmercenaria_contig_2390	193	143
Mmercenaria_contig_2391	231	189
Mmercenaria_contig_2392	70	74
Mmercenaria_contig_2393	105	81
Mmercenaria_contig_2394	169	170
Mmercenaria_contig_2395	580	449
Mmercenaria_contig_2396	88	57
Mmercenaria_contig_2397	332	198
Mmercenaria_contig_2398	120	174
Mmercenaria_contig_2399	144	117
Mmercenaria_contig_24	188	140
Mmercenaria_contig_240	99	71
Mmercenaria_contig_2400	286	406
Mmercenaria_contig_2401	91	76
Mmercenaria_contig_2402	305	290
Mmercenaria_contig_2403	225	161
Mmercenaria_contig_2404	178	217
Mmercenaria_contig_2405	65	46
Mmercenaria_contig_2406	123	121
Mmercenaria_contig_2407	235	245
Mmercenaria_contig_2408	509	390
Mmercenaria_contig_2409	255	202
Mmercenaria_contig_241	57	64
Mmercenaria_contig_2410	190	102
Mmercenaria_contig_2411	25	35
Mmercenaria_contig_2412	575	277
Mmercenaria_contig_2413	249	303
Mmercenaria_contig_2414	185	103
Mmercenaria_contig_2415	773	560
Mmercenaria_contig_2416	808	522
Mmercenaria_contig_2417	197	65
Mmercenaria_contig_2418	121	98
Mmercenaria_contig_2419	255	190
Mmercenaria_contig_242	163	90
Mmercenaria_contig_2420	208	187
Mmercenaria_contig_2421	97	37
Mmercenaria_contig_2422	201	306
Mmercenaria_contig_2423	91	83
Mmercenaria_contig_2424	158	139
Mmercenaria_contig_2425	187	143
Mmercenaria_contig_2426	88	104
Mmercenaria_contig_2427	79	64
Mmercenaria_contig_2428	354	359
Mmercenaria_contig_2429	82	108
Mmercenaria_contig_243	120	105
Mmercenaria_contig_2430	251	178
Mmercenaria_contig_2431	329	151
Mmercenaria_contig_2432	1125	403
Mmercenaria_contig_2433	17	100
Mmercenaria_contig_2434	186	169
Mmercenaria_contig_2435	749	697
Mmercenaria_contig_2436	231	349
Mmercenaria_contig_2437	221	310
Mmercenaria_contig_2438	323	123
Mmercenaria_contig_2439	144	107
Mmercenaria_contig_244	201	159
Mmercenaria_contig_2440	96	154
Mmercenaria_contig_2441	161	172
Mmercenaria_contig_2442	95	127
Mmercenaria_contig_2443	159	137
Mmercenaria_contig_2444	296	230
Mmercenaria_contig_2445	15	33
Mmercenaria_contig_2446	273	293
Mmercenaria_contig_2447	226	330
Mmercenaria_contig_2448	209	153
Mmercenaria_contig_2449	84	114
Mmercenaria_contig_245	1	266
Mmercenaria_contig_2450	285	247
Mmercenaria_contig_2451	152	144
Mmercenaria_contig_2452	993	668
Mmercenaria_contig_2453	215	122
Mmercenaria_contig_2454	63	112
Mmercenaria_contig_2455	200	209
Mmercenaria_contig_2456	161	176
Mmercenaria_contig_2457	387	341
Mmercenaria_contig_2458	332	257
Mmercenaria_contig_2459	164	128
Mmercenaria_contig_246	209	95
Mmercenaria_contig_2460	529	417
Mmercenaria_contig_2461	123	114
Mmercenaria_contig_2462	144	98
Mmercenaria_contig_2463	99	126
Mmercenaria_contig_2464	338	191
Mmercenaria_contig_2465	176	116
Mmercenaria_contig_2466	127	112
Mmercenaria_contig_2467	338	388
Mmercenaria_contig_2468	34	35
Mmercenaria_contig_2469	146	55
Mmercenaria_contig_247	98	75
Mmercenaria_contig_2470	644	363
Mmercenaria_contig_2471	391	241
Mmercenaria_contig_2472	179	164
Mmercenaria_contig_2473	414	300
Mmercenaria_contig_2474	126	94
Mmercenaria_contig_2475	68	119
Mmercenaria_contig_2476	571	512
Mmercenaria_contig_2477	359	269
Mmercenaria_contig_2478	582	681
Mmercenaria_contig_2479	476	395
Mmercenaria_contig_248	569	152
Mmercenaria_contig_2480	146	94
Mmercenaria_contig_2481	274	280
Mmercenaria_contig_2482	72	137
Mmercenaria_contig_2483	120	165
Mmercenaria_contig_2484	242	150
Mmercenaria_contig_2485	565	541
Mmercenaria_contig_2486	389	353
Mmercenaria_contig_2487	488	285
Mmercenaria_contig_2488	381	228
Mmercenaria_contig_2489	168	154
Mmercenaria_contig_249	406	175
Mmercenaria_contig_2490	111	95
Mmercenaria_contig_2491	736	332
Mmercenaria_contig_2492	45	67
Mmercenaria_contig_2493	192	138
Mmercenaria_contig_2494	138	24
Mmercenaria_contig_2495	59	50
Mmercenaria_contig_2496	276	190
Mmercenaria_contig_2497	529	377
Mmercenaria_contig_2498	48	89
Mmercenaria_contig_2499	33	40
Mmercenaria_contig_25	433	462
Mmercenaria_contig_250	282	328
Mmercenaria_contig_2500	183	105
Mmercenaria_contig_2501	75	108
Mmercenaria_contig_2502	105	122
Mmercenaria_contig_2503	302	342
Mmercenaria_contig_2504	194	137
Mmercenaria_contig_2505	307	211
Mmercenaria_contig_2506	95	91
Mmercenaria_contig_2507	112	69
Mmercenaria_contig_2508	79	50
Mmercenaria_contig_2509	102	130
Mmercenaria_contig_251	93	33
Mmercenaria_contig_2510	408	277
Mmercenaria_contig_2511	821	537
Mmercenaria_contig_2512	40	296
Mmercenaria_contig_2513	138	135
Mmercenaria_contig_2514	162	128
Mmercenaria_contig_2515	167	209
Mmercenaria_contig_2516	117	213
Mmercenaria_contig_2517	244	163
Mmercenaria_contig_2518	184	53
Mmercenaria_contig_2519	86	111
Mmercenaria_contig_252	166	110
Mmercenaria_contig_2520	65	95
Mmercenaria_contig_2521	1124	527
Mmercenaria_contig_2522	65	48
Mmercenaria_contig_2523	160	183
Mmercenaria_contig_2524	96	53
Mmercenaria_contig_2525	51	97
Mmercenaria_contig_2526	466	288
Mmercenaria_contig_2527	298	211
Mmercenaria_contig_2528	464	350
Mmercenaria_contig_2529	912	666
Mmercenaria_contig_253	159	140
Mmercenaria_contig_2530	276	161
Mmercenaria_contig_2531	101	99
Mmercenaria_contig_2532	179	215
Mmercenaria_contig_2533	82	63
Mmercenaria_contig_2534	1224	968
Mmercenaria_contig_2535	233	206
Mmercenaria_contig_2536	55	41
Mmercenaria_contig_2537	297	224
Mmercenaria_contig_2538	36	19
Mmercenaria_contig_2539	260	236
Mmercenaria_contig_254	264	245
Mmercenaria_contig_2540	74	61
Mmercenaria_contig_2541	163	307
Mmercenaria_contig_2542	76	77
Mmercenaria_contig_2543	101	112
Mmercenaria_contig_2544	328	128
Mmercenaria_contig_2545	299	168
Mmercenaria_contig_2546	164	191
Mmercenaria_contig_2547	58	64
Mmercenaria_contig_2548	174	231
Mmercenaria_contig_2549	404	299
Mmercenaria_contig_255	113	61
Mmercenaria_contig_2550	181	135
Mmercenaria_contig_2551	1632	362
Mmercenaria_contig_2552	271	298
Mmercenaria_contig_2553	85	161
Mmercenaria_contig_2554	334	236
Mmercenaria_contig_2555	857	676
Mmercenaria_contig_2556	362	163
Mmercenaria_contig_2557	243	150
Mmercenaria_contig_2558	103	70
Mmercenaria_contig_2559	177	101
Mmercenaria_contig_256	112	139
Mmercenaria_contig_2560	611	476
Mmercenaria_contig_2561	51	65
Mmercenaria_contig_2562	154	171
Mmercenaria_contig_2563	489	706
Mmercenaria_contig_2564	923	483
Mmercenaria_contig_2565	160	117
Mmercenaria_contig_2566	49	50
Mmercenaria_contig_2567	53	77
Mmercenaria_contig_2568	3757	2364
Mmercenaria_contig_2569	142	193
Mmercenaria_contig_257	185	116
Mmercenaria_contig_2570	59	68
Mmercenaria_contig_2571	5878	4136
Mmercenaria_contig_2572	124	104
Mmercenaria_contig_2573	84	125
Mmercenaria_contig_2574	56	58
Mmercenaria_contig_2575	285	114
Mmercenaria_contig_2576	862	376
Mmercenaria_contig_2577	242	251
Mmercenaria_contig_2578	83	54
Mmercenaria_contig_2579	106	113
Mmercenaria_contig_258	101	80
Mmercenaria_contig_2580	165	141
Mmercenaria_contig_2581	134	96
Mmercenaria_contig_2582	465	484
Mmercenaria_contig_2583	1615	1599
Mmercenaria_contig_2584	905	624
Mmercenaria_contig_2585	32	38
Mmercenaria_contig_2586	604	624
Mmercenaria_contig_2587	116	92
Mmercenaria_contig_2588	209	212
Mmercenaria_contig_2589	47	47
Mmercenaria_contig_259	107	117
Mmercenaria_contig_2590	92	61
Mmercenaria_contig_2591	189	158
Mmercenaria_contig_2592	308	186
Mmercenaria_contig_2593	277	195
Mmercenaria_contig_2594	264	271
Mmercenaria_contig_2595	497	268
Mmercenaria_contig_2596	1	51
Mmercenaria_contig_2597	17	27
Mmercenaria_contig_2598	816	481
Mmercenaria_contig_2599	417	213
Mmercenaria_contig_26	390	166
Mmercenaria_contig_260	82	144
Mmercenaria_contig_2600	98	109
Mmercenaria_contig_2601	137	85
Mmercenaria_contig_2602	331	177
Mmercenaria_contig_2603	154	126
Mmercenaria_contig_2604	0	58
Mmercenaria_contig_2605	46	34
Mmercenaria_contig_2606	1231	746
Mmercenaria_contig_2607	94	39
Mmercenaria_contig_2608	754	882
Mmercenaria_contig_2609	139	72
Mmercenaria_contig_261	117	79
Mmercenaria_contig_2610	285	263
Mmercenaria_contig_2611	429	384
Mmercenaria_contig_2612	376	211
Mmercenaria_contig_2613	420	474
Mmercenaria_contig_2614	27	33
Mmercenaria_contig_2615	136	147
Mmercenaria_contig_2616	139	131
Mmercenaria_contig_2617	31	59
Mmercenaria_contig_2618	67	111
Mmercenaria_contig_2619	174	164
Mmercenaria_contig_262	48	56
Mmercenaria_contig_2620	680	259
Mmercenaria_contig_2621	131	73
Mmercenaria_contig_2622	118	197
Mmercenaria_contig_2623	103	127
Mmercenaria_contig_2624	127	89
Mmercenaria_contig_2625	47	127
Mmercenaria_contig_2626	592	499
Mmercenaria_contig_2627	98	46
Mmercenaria_contig_2628	3319	894
Mmercenaria_contig_2629	128	85
Mmercenaria_contig_263	676	327
Mmercenaria_contig_2630	475	364
Mmercenaria_contig_2631	76	69
Mmercenaria_contig_2632	66	149
Mmercenaria_contig_2633	61	50
Mmercenaria_contig_2634	147	127
Mmercenaria_contig_2635	248	240
Mmercenaria_contig_2636	56	90
Mmercenaria_contig_2637	136	117
Mmercenaria_contig_2638	80	91
Mmercenaria_contig_2639	281	385
Mmercenaria_contig_264	200	242
Mmercenaria_contig_2640	523	503
Mmercenaria_contig_2641	299	341
Mmercenaria_contig_2642	121	77
Mmercenaria_contig_2643	272	195
Mmercenaria_contig_2644	35	73
Mmercenaria_contig_2645	439	234
Mmercenaria_contig_2646	43	135
Mmercenaria_contig_2647	78	60
Mmercenaria_contig_2648	390	502
Mmercenaria_contig_2649	41	174
Mmercenaria_contig_265	171	97
Mmercenaria_contig_2650	29	25
Mmercenaria_contig_2651	99	183
Mmercenaria_contig_2652	787	482
Mmercenaria_contig_2653	235	164
Mmercenaria_contig_2654	50	54
Mmercenaria_contig_2655	93	108
Mmercenaria_contig_2656	239	186
Mmercenaria_contig_2657	169	107
Mmercenaria_contig_2658	130	104
Mmercenaria_contig_2659	106	78
Mmercenaria_contig_266	315	236
Mmercenaria_contig_2660	371	299
Mmercenaria_contig_2661	169	138
Mmercenaria_contig_2662	155	165
Mmercenaria_contig_2663	401	300
Mmercenaria_contig_2664	1684	1000
Mmercenaria_contig_2665	82	87
Mmercenaria_contig_2666	110	64
Mmercenaria_contig_2667	209	101
Mmercenaria_contig_2668	230	219
Mmercenaria_contig_2669	1132	463
Mmercenaria_contig_267	112	73
Mmercenaria_contig_2670	957	1163
Mmercenaria_contig_2671	841	746
Mmercenaria_contig_2672	300	183
Mmercenaria_contig_2673	181	180
Mmercenaria_contig_2674	168	157
Mmercenaria_contig_2675	127	78
Mmercenaria_contig_2676	269	309
Mmercenaria_contig_2677	200	144
Mmercenaria_contig_2678	171	94
Mmercenaria_contig_2679	50	38
Mmercenaria_contig_268	85	94
Mmercenaria_contig_2680	485	63
Mmercenaria_contig_2681	179	178
Mmercenaria_contig_2682	294	186
Mmercenaria_contig_2683	74	103
Mmercenaria_contig_2684	239	132
Mmercenaria_contig_2685	365	242
Mmercenaria_contig_2686	61	41
Mmercenaria_contig_2687	232	197
Mmercenaria_contig_2688	842	507
Mmercenaria_contig_2689	449	423
Mmercenaria_contig_269	102	84
Mmercenaria_contig_2690	652	547
Mmercenaria_contig_2691	75	114
Mmercenaria_contig_2692	167	141
Mmercenaria_contig_2693	252	216
Mmercenaria_contig_2694	370	162
Mmercenaria_contig_2695	162	132
Mmercenaria_contig_2696	313	108
Mmercenaria_contig_2697	220	142
Mmercenaria_contig_2698	118	89
Mmercenaria_contig_2699	99	59
Mmercenaria_contig_27	128	88
Mmercenaria_contig_270	287	229
Mmercenaria_contig_2700	117	105
Mmercenaria_contig_2701	359	227
Mmercenaria_contig_2702	67	75
Mmercenaria_contig_2703	344	366
Mmercenaria_contig_2704	118	67
Mmercenaria_contig_2705	62	76
Mmercenaria_contig_2706	120	129
Mmercenaria_contig_2707	522	291
Mmercenaria_contig_2708	23	38
Mmercenaria_contig_2709	173	151
Mmercenaria_contig_271	360	207
Mmercenaria_contig_2710	32	48
Mmercenaria_contig_2711	160	143
Mmercenaria_contig_2712	1043	628
Mmercenaria_contig_2713	279	187
Mmercenaria_contig_2714	366	327
Mmercenaria_contig_2715	140	143
Mmercenaria_contig_2716	53	82
Mmercenaria_contig_2717	1303	996
Mmercenaria_contig_2718	209	205
Mmercenaria_contig_2719	57	45
Mmercenaria_contig_272	88	45
Mmercenaria_contig_2720	424	275
Mmercenaria_contig_2721	111	106
Mmercenaria_contig_2722	13	158
Mmercenaria_contig_2723	514	295
Mmercenaria_contig_2724	241	202
Mmercenaria_contig_2725	700	335
Mmercenaria_contig_2726	184	585
Mmercenaria_contig_2727	405	276
Mmercenaria_contig_2728	23	23
Mmercenaria_contig_2729	189	114
Mmercenaria_contig_273	58	35
Mmercenaria_contig_2730	125	93
Mmercenaria_contig_2731	152	201
Mmercenaria_contig_2732	107	66
Mmercenaria_contig_2733	89	84
Mmercenaria_contig_2734	314	240
Mmercenaria_contig_2735	4014	4932
Mmercenaria_contig_2736	95	152
Mmercenaria_contig_2737	370	390
Mmercenaria_contig_2738	82	48
Mmercenaria_contig_2739	89	94
Mmercenaria_contig_274	37	61
Mmercenaria_contig_2740	912	642
Mmercenaria_contig_2741	109	75
Mmercenaria_contig_2742	200	112
Mmercenaria_contig_2743	272	164
Mmercenaria_contig_2744	117	116
Mmercenaria_contig_2745	241	137
Mmercenaria_contig_2746	90	107
Mmercenaria_contig_2747	48	35
Mmercenaria_contig_2748	687	558
Mmercenaria_contig_2749	610	419
Mmercenaria_contig_275	285	170
Mmercenaria_contig_2750	99	56
Mmercenaria_contig_2751	455	395
Mmercenaria_contig_2752	90	64
Mmercenaria_contig_2753	75	71
Mmercenaria_contig_2754	247	202
Mmercenaria_contig_2755	19	79
Mmercenaria_contig_2756	99	42
Mmercenaria_contig_2757	623	346
Mmercenaria_contig_2758	219	167
Mmercenaria_contig_2759	102	86
Mmercenaria_contig_276	138	105
Mmercenaria_contig_2760	315	290
Mmercenaria_contig_2761	131	281
Mmercenaria_contig_2762	221	145
Mmercenaria_contig_2763	231	216
Mmercenaria_contig_2764	192	253
Mmercenaria_contig_2765	51	63
Mmercenaria_contig_2766	39	33
Mmercenaria_contig_2767	220	171
Mmercenaria_contig_2768	96	110
Mmercenaria_contig_2769	760	638
Mmercenaria_contig_277	199	66
Mmercenaria_contig_2770	272	160
Mmercenaria_contig_2771	166	166
Mmercenaria_contig_2772	187	210
Mmercenaria_contig_2773	216	422
Mmercenaria_contig_2774	103	143
Mmercenaria_contig_2775	296	237
Mmercenaria_contig_2776	135	123
Mmercenaria_contig_2777	1003	625
Mmercenaria_contig_2778	211	385
Mmercenaria_contig_2779	98	96
Mmercenaria_contig_278	187	95
Mmercenaria_contig_2780	136	110
Mmercenaria_contig_2781	75	87
Mmercenaria_contig_2782	390	303
Mmercenaria_contig_2783	157	114
Mmercenaria_contig_2784	125	129
Mmercenaria_contig_2785	45	43
Mmercenaria_contig_2786	237	241
Mmercenaria_contig_2787	277	320
Mmercenaria_contig_2788	470	288
Mmercenaria_contig_2789	166	155
Mmercenaria_contig_279	246	329
Mmercenaria_contig_2790	119	123
Mmercenaria_contig_2791	150	134
Mmercenaria_contig_2792	474	295
Mmercenaria_contig_2793	349	275
Mmercenaria_contig_2794	84	111
Mmercenaria_contig_2795	69	64
Mmercenaria_contig_2796	29	31
Mmercenaria_contig_2797	77	97
Mmercenaria_contig_2798	544	415
Mmercenaria_contig_2799	29	36
Mmercenaria_contig_28	58	50
Mmercenaria_contig_280	207	272
Mmercenaria_contig_2800	294	150
Mmercenaria_contig_2801	254	372
Mmercenaria_contig_2802	31	46
Mmercenaria_contig_2803	182	131
Mmercenaria_contig_2804	270	227
Mmercenaria_contig_2805	61	66
Mmercenaria_contig_2806	191	98
Mmercenaria_contig_2807	133	67
Mmercenaria_contig_2808	194	167
Mmercenaria_contig_2809	132	81
Mmercenaria_contig_281	90	84
Mmercenaria_contig_2810	161	108
Mmercenaria_contig_2811	52	115
Mmercenaria_contig_2812	526	380
Mmercenaria_contig_2813	402	442
Mmercenaria_contig_2814	335	248
Mmercenaria_contig_2815	564	305
Mmercenaria_contig_2816	83	232
Mmercenaria_contig_2817	854	634
Mmercenaria_contig_2818	94	49
Mmercenaria_contig_2819	52	39
Mmercenaria_contig_282	122	52
Mmercenaria_contig_2820	165	83
Mmercenaria_contig_2821	98	85
Mmercenaria_contig_2822	99	94
Mmercenaria_contig_2823	127	136
Mmercenaria_contig_2824	131	95
Mmercenaria_contig_2825	317	203
Mmercenaria_contig_2826	75	85
Mmercenaria_contig_2827	74	85
Mmercenaria_contig_2828	344	142
Mmercenaria_contig_2829	330	281
Mmercenaria_contig_283	62	115
Mmercenaria_contig_2830	325	8
Mmercenaria_contig_2831	272	246
Mmercenaria_contig_2832	146	102
Mmercenaria_contig_2833	310	147
Mmercenaria_contig_2834	392	329
Mmercenaria_contig_2835	54	44
Mmercenaria_contig_2836	203	206
Mmercenaria_contig_2837	81	107
Mmercenaria_contig_2838	60	88
Mmercenaria_contig_2839	531	811
Mmercenaria_contig_284	17	29
Mmercenaria_contig_2840	227	218
Mmercenaria_contig_2841	423	368
Mmercenaria_contig_2842	654	403
Mmercenaria_contig_2843	124	62
Mmercenaria_contig_2844	238	191
Mmercenaria_contig_2845	0	100
Mmercenaria_contig_2846	39	31
Mmercenaria_contig_2847	60	36
Mmercenaria_contig_2848	94	28
Mmercenaria_contig_2849	150	117
Mmercenaria_contig_285	660	185
Mmercenaria_contig_2850	205	225
Mmercenaria_contig_2851	426	192
Mmercenaria_contig_2852	518	633
Mmercenaria_contig_2853	419	191
Mmercenaria_contig_2854	368	206
Mmercenaria_contig_2855	45	50
Mmercenaria_contig_2856	208	119
Mmercenaria_contig_2857	32	37
Mmercenaria_contig_2858	96	151
Mmercenaria_contig_2859	419	444
Mmercenaria_contig_286	176	163
Mmercenaria_contig_2860	445	224
Mmercenaria_contig_2861	657	208
Mmercenaria_contig_2862	552	356
Mmercenaria_contig_2863	73	94
Mmercenaria_contig_2864	325	313
Mmercenaria_contig_2865	56	40
Mmercenaria_contig_2866	205	178
Mmercenaria_contig_2867	338	290
Mmercenaria_contig_2868	242	176
Mmercenaria_contig_2869	164	168
Mmercenaria_contig_287	71	127
Mmercenaria_contig_2870	73	47
Mmercenaria_contig_2871	341	166
Mmercenaria_contig_2872	123	101
Mmercenaria_contig_2873	369	163
Mmercenaria_contig_2874	61	88
Mmercenaria_contig_2875	169	718
Mmercenaria_contig_2876	19	34
Mmercenaria_contig_2877	137	78
Mmercenaria_contig_2878	209	183
Mmercenaria_contig_2879	296	195
Mmercenaria_contig_288	43	45
Mmercenaria_contig_2880	356	245
Mmercenaria_contig_2881	292	360
Mmercenaria_contig_2882	208	189
Mmercenaria_contig_2883	223	189
Mmercenaria_contig_2884	171	100
Mmercenaria_contig_2885	513	326
Mmercenaria_contig_2886	85	59
Mmercenaria_contig_2887	120	75
Mmercenaria_contig_2888	223	124
Mmercenaria_contig_2889	72	77
Mmercenaria_contig_289	80	82
Mmercenaria_contig_2890	66	63
Mmercenaria_contig_2891	93	55
Mmercenaria_contig_2892	277	323
Mmercenaria_contig_2893	123	155
Mmercenaria_contig_2894	84	101
Mmercenaria_contig_2895	350	146
Mmercenaria_contig_2896	326	344
Mmercenaria_contig_2897	335	278
Mmercenaria_contig_2898	60	28
Mmercenaria_contig_2899	201	342
Mmercenaria_contig_29	56	44
Mmercenaria_contig_290	96	47
Mmercenaria_contig_2900	102	63
Mmercenaria_contig_2901	188	126
Mmercenaria_contig_2902	461	307
Mmercenaria_contig_2903	53	46
Mmercenaria_contig_2904	115	86
Mmercenaria_contig_2905	129	92
Mmercenaria_contig_2906	414	270
Mmercenaria_contig_2907	113	98
Mmercenaria_contig_2908	1064	813
Mmercenaria_contig_2909	86	69
Mmercenaria_contig_291	190	107
Mmercenaria_contig_2910	190	127
Mmercenaria_contig_2911	153	52
Mmercenaria_contig_2912	126	90
Mmercenaria_contig_2913	79	59
Mmercenaria_contig_2914	342	451
Mmercenaria_contig_2915	100	110
Mmercenaria_contig_2916	124	144
Mmercenaria_contig_2917	129	135
Mmercenaria_contig_2918	112	90
Mmercenaria_contig_2919	677	406
Mmercenaria_contig_292	155	90
Mmercenaria_contig_2920	79	71
Mmercenaria_contig_2921	117	70
Mmercenaria_contig_2922	57	40
Mmercenaria_contig_2923	246	264
Mmercenaria_contig_2924	57	50
Mmercenaria_contig_2925	102	106
Mmercenaria_contig_2926	77	98
Mmercenaria_contig_2927	393	306
Mmercenaria_contig_2928	122	130
Mmercenaria_contig_2929	109	104
Mmercenaria_contig_293	221	85
Mmercenaria_contig_2930	162	29
Mmercenaria_contig_2931	171	170
Mmercenaria_contig_2932	117	64
Mmercenaria_contig_2933	229	126
Mmercenaria_contig_2934	96	112
Mmercenaria_contig_2935	81	104
Mmercenaria_contig_2936	209	163
Mmercenaria_contig_2937	94	39
Mmercenaria_contig_2938	219	198
Mmercenaria_contig_2939	152	120
Mmercenaria_contig_294	72	63
Mmercenaria_contig_2940	81	82
Mmercenaria_contig_2941	142	98
Mmercenaria_contig_2942	189	105
Mmercenaria_contig_2943	581	594
Mmercenaria_contig_2944	60	39
Mmercenaria_contig_2945	48	65
Mmercenaria_contig_2946	19	28
Mmercenaria_contig_2947	257	196
Mmercenaria_contig_2948	273	241
Mmercenaria_contig_2949	354	304
Mmercenaria_contig_295	117	100
Mmercenaria_contig_2950	171	143
Mmercenaria_contig_2951	48	51
Mmercenaria_contig_2952	395	640
Mmercenaria_contig_2953	96	70
Mmercenaria_contig_2954	144	126
Mmercenaria_contig_2955	229	105
Mmercenaria_contig_2956	371	268
Mmercenaria_contig_2957	181	227
Mmercenaria_contig_2958	227	190
Mmercenaria_contig_2959	4019	2873
Mmercenaria_contig_296	163	54
Mmercenaria_contig_2960	329	359
Mmercenaria_contig_2961	580	766
Mmercenaria_contig_2962	130	104
Mmercenaria_contig_2963	443	141
Mmercenaria_contig_2964	1438	470
Mmercenaria_contig_2965	42	24
Mmercenaria_contig_2966	184	173
Mmercenaria_contig_2967	301	76
Mmercenaria_contig_2968	242	148
Mmercenaria_contig_2969	423	358
Mmercenaria_contig_297	63	40
Mmercenaria_contig_2970	84	185
Mmercenaria_contig_2971	160	66
Mmercenaria_contig_2972	64	74
Mmercenaria_contig_2973	467	614
Mmercenaria_contig_2974	132	194
Mmercenaria_contig_2975	283	201
Mmercenaria_contig_2976	192	120
Mmercenaria_contig_2977	20	70
Mmercenaria_contig_2978	308	353
Mmercenaria_contig_2979	228	160
Mmercenaria_contig_298	222	122
Mmercenaria_contig_2980	196	151
Mmercenaria_contig_2981	122	104
Mmercenaria_contig_2982	70	75
Mmercenaria_contig_2983	198	62
Mmercenaria_contig_2984	112	58
Mmercenaria_contig_2985	165	188
Mmercenaria_contig_2986	787	773
Mmercenaria_contig_2987	194	104
Mmercenaria_contig_2988	95	142
Mmercenaria_contig_2989	47	59
Mmercenaria_contig_299	64	67
Mmercenaria_contig_2990	56	50
Mmercenaria_contig_2991	126	100
Mmercenaria_contig_2992	460	397
Mmercenaria_contig_2993	166	64
Mmercenaria_contig_2994	58	36
Mmercenaria_contig_2995	231	226
Mmercenaria_contig_2996	174	206
Mmercenaria_contig_2997	307	321
Mmercenaria_contig_2998	310	192
Mmercenaria_contig_2999	63	68
Mmercenaria_contig_3	85	57
Mmercenaria_contig_30	75	80
Mmercenaria_contig_300	111	143
Mmercenaria_contig_3000	105	22
Mmercenaria_contig_3001	203	183
Mmercenaria_contig_3002	81	72
Mmercenaria_contig_3003	238	229
Mmercenaria_contig_3004	119	116
Mmercenaria_contig_3005	126	74
Mmercenaria_contig_3006	123	59
Mmercenaria_contig_3007	222	208
Mmercenaria_contig_3008	230	131
Mmercenaria_contig_3009	162	114
Mmercenaria_contig_301	258	147
Mmercenaria_contig_3010	35	26
Mmercenaria_contig_3011	1175	641
Mmercenaria_contig_3012	130	35
Mmercenaria_contig_3013	1046	657
Mmercenaria_contig_3014	106	64
Mmercenaria_contig_3015	96	106
Mmercenaria_contig_3016	725	356
Mmercenaria_contig_3017	60	63
Mmercenaria_contig_3018	48	42
Mmercenaria_contig_3019	236	140
Mmercenaria_contig_302	263	128
Mmercenaria_contig_3020	225	96
Mmercenaria_contig_3021	85	95
Mmercenaria_contig_3022	73	87
Mmercenaria_contig_3023	108	73
Mmercenaria_contig_3024	68	67
Mmercenaria_contig_3025	35	53
Mmercenaria_contig_3026	308	341
Mmercenaria_contig_3027	723	617
Mmercenaria_contig_3028	97	87
Mmercenaria_contig_3029	337	231
Mmercenaria_contig_303	155	107
Mmercenaria_contig_3030	278	209
Mmercenaria_contig_3031	208	209
Mmercenaria_contig_3032	74	46
Mmercenaria_contig_3033	151	126
Mmercenaria_contig_3034	23	37
Mmercenaria_contig_3035	88	60
Mmercenaria_contig_3036	138	146
Mmercenaria_contig_3037	156	108
Mmercenaria_contig_3038	257	43
Mmercenaria_contig_3039	431	225
Mmercenaria_contig_304	68	41
Mmercenaria_contig_3040	192	210
Mmercenaria_contig_3041	97	144
Mmercenaria_contig_3042	36	102
Mmercenaria_contig_3043	162	106
Mmercenaria_contig_3044	132	151
Mmercenaria_contig_3045	776	754
Mmercenaria_contig_3046	133	109
Mmercenaria_contig_3047	34	67
Mmercenaria_contig_3048	79	103
Mmercenaria_contig_3049	95	80
Mmercenaria_contig_305	134	102
Mmercenaria_contig_3050	168	137
Mmercenaria_contig_3051	126	109
Mmercenaria_contig_3052	123	52
Mmercenaria_contig_3053	347	275
Mmercenaria_contig_3054	86	39
Mmercenaria_contig_3055	523	451
Mmercenaria_contig_3056	1118	874
Mmercenaria_contig_3057	142	140
Mmercenaria_contig_3058	54	42
Mmercenaria_contig_3059	67	353
Mmercenaria_contig_306	133	115
Mmercenaria_contig_3060	325	165
Mmercenaria_contig_3061	41	68
Mmercenaria_contig_3062	49	32
Mmercenaria_contig_3063	232	160
Mmercenaria_contig_3064	187	356
Mmercenaria_contig_3065	226	202
Mmercenaria_contig_3066	52	29
Mmercenaria_contig_3067	78	66
Mmercenaria_contig_3068	101	86
Mmercenaria_contig_3069	78	43
Mmercenaria_contig_307	101	73
Mmercenaria_contig_3070	113	41
Mmercenaria_contig_3071	138	69
Mmercenaria_contig_3072	120	124
Mmercenaria_contig_3073	221	205
Mmercenaria_contig_3074	245	246
Mmercenaria_contig_3075	51	72
Mmercenaria_contig_3076	112	42
Mmercenaria_contig_3077	1075	598
Mmercenaria_contig_3078	1251	1233
