Contig	Lean 	Siscowet 
Snamaycush_0244	391	247
Snamaycush_0245	3	5
Snamaycush_0246	51	36
Snamaycush_0247	25	17
Snamaycush_0248	17	8
Snamaycush_0249	22	19
Snamaycush_0250	0	0
Snamaycush_0251	66	38
Snamaycush_0252	0	2
Snamaycush_0253	9	7
Snamaycush_0254	7	8
Snamaycush_0255	12	14
Snamaycush_0256	103	125
Snamaycush_0257	0	3
Snamaycush_0258	6	8
Snamaycush_0259	1	1
Snamaycush_0260	4	9
Snamaycush_0261	2427	2301
Snamaycush_0262	35	26
Snamaycush_0263	8	6
Snamaycush_0264	37	28
Snamaycush_0265	41	43
Snamaycush_0266	253	183
Snamaycush_0267	26	12
Snamaycush_0268	8	1
Snamaycush_0269	229	240
Snamaycush_0270	569	400
Snamaycush_0271	74	56
Snamaycush_0272	184	91
Snamaycush_0273	61	47
Snamaycush_0274	44	60
Snamaycush_0275	9697	7993
Snamaycush_0276	0	0
Snamaycush_0277	0	0
Snamaycush_0278	0	2
Snamaycush_0279	32	40
Snamaycush_0280	72	90
Snamaycush_0281	11	14
Snamaycush_0282	25	23
Snamaycush_0283	1241	1523
Snamaycush_0284	106	108
Snamaycush_0285	0	2
Snamaycush_0286	6	6
Snamaycush_0287	2	2
Snamaycush_0288	0	3
Snamaycush_0289	29	42
Snamaycush_0290	250	122
Snamaycush_0291	10	5
Snamaycush_0292	2113	3463
Snamaycush_0293	3297	3168
Snamaycush_0294	22	13
Snamaycush_0295	37	22
Snamaycush_0296	568	442
Snamaycush_0297	188	117
Snamaycush_0298	3	4
Snamaycush_0299	209	158
Snamaycush_0300	14	3
Snamaycush_0301	56	45
Snamaycush_0302	4	6
Snamaycush_0303	1	0
Snamaycush_0304	12	9
Snamaycush_0305	65	55
Snamaycush_0306	46	55
Snamaycush_0307	1	8
Snamaycush_0308	70	73
Snamaycush_0309	14	13
Snamaycush_0310	4	4
Snamaycush_0311	4	7
Snamaycush_0312	17	12
Snamaycush_0313	53	57
Snamaycush_0314	34	28
Snamaycush_0315	79	41
Snamaycush_0316	4	1
