Contig	Lean 	Siscowet 
Snamaycush_2302	6	7
Snamaycush_2303	1	2
Snamaycush_2304	36	34
Snamaycush_2305	313	251
Snamaycush_2306	8	10
Snamaycush_2307	53	68
Snamaycush_2308	1	0
Snamaycush_2309	13	11
Snamaycush_2310	0	3
Snamaycush_2311	22	15
Snamaycush_2312	1026	934
Snamaycush_2313	112	102
Snamaycush_2314	512	297
Snamaycush_2315	86	62
Snamaycush_2316	6	1
Snamaycush_2317	1364	961
Snamaycush_2318	23	22
Snamaycush_2319	85	79
Snamaycush_2320	23	24
Snamaycush_2321	6	6
Snamaycush_2322	1	1
Snamaycush_2323	201	210
Snamaycush_2324	2731	1913
Snamaycush_2325	0	1
Snamaycush_2326	6	5
Snamaycush_2327	4	5
Snamaycush_2328	20	24
Snamaycush_2329	0	0
Snamaycush_2330	75	57
Snamaycush_2331	0	0
Snamaycush_2332	1	0
Snamaycush_2333	32	40
Snamaycush_2334	939	809
Snamaycush_2335	273	220
Snamaycush_2336	6	5
Snamaycush_2337	163	114
Snamaycush_2338	0	6
Snamaycush_2339	6277	4945
Snamaycush_2340	1	0
Snamaycush_2341	5	9
Snamaycush_2342	1320	946
Snamaycush_2343	7	7
Snamaycush_2344	3	7
Snamaycush_2345	0	0
Snamaycush_2346	3	3
Snamaycush_2347	22	24
Snamaycush_2348	6	9
Snamaycush_2349	6	10
Snamaycush_2350	3	5
Snamaycush_2351	12	5
Snamaycush_2352	10	2
Snamaycush_2353	10	14
Snamaycush_2354	6	3
Snamaycush_2355	4	0
Snamaycush_2356	13	8
Snamaycush_2357	0	1
Snamaycush_2358	1	2
Snamaycush_2359	1401	1151
Snamaycush_2360	5427	6127
Snamaycush_2361	29	27
Snamaycush_2362	315	349
Snamaycush_2363	7	3
Snamaycush_2364	148	118
Snamaycush_2365	2727	2231
Snamaycush_2366	32	26
Snamaycush_2367	1239	1994
Snamaycush_2368	109	93
Snamaycush_2369	2	4
Snamaycush_2370	85	81
Snamaycush_2371	4956	3782
Snamaycush_2372	13	8
Snamaycush_2373	62	59
Snamaycush_2374	23	23
Snamaycush_2375	55	68
Snamaycush_2376	32	37
Snamaycush_2377	65	62
Snamaycush_2378	31	19
Snamaycush_2379	149	130
Snamaycush_2380	71	32
Snamaycush_2381	47	69
Snamaycush_2382	25	21
Snamaycush_2383	8	3
Snamaycush_2384	8	7
Snamaycush_2385	52	28
Snamaycush_2386	7	14
Snamaycush_2387	57	70
Snamaycush_2388	80	50
Snamaycush_2389	17	20
Snamaycush_2390	116	73
Snamaycush_2391	13	26
Snamaycush_2392	5	6
Snamaycush_2393	130	139
Snamaycush_2394	10	14
Snamaycush_2395	1	0
Snamaycush_2396	9	3
Snamaycush_2397	16	14
Snamaycush_2398	5	4
Snamaycush_2399	29	20
Snamaycush_2400	4	4
Snamaycush_2401	4	2
Snamaycush_2402	164	147
Snamaycush_2403	42	26
Snamaycush_2404	3	1
Snamaycush_2405	31	49
Snamaycush_2406	265	208
Snamaycush_2407	1287	906
Snamaycush_2408	144	83
Snamaycush_2409	1	2
Snamaycush_2410	97	87
Snamaycush_2411	21	15
Snamaycush_2412	79	46
Snamaycush_2413	4	1
Snamaycush_2414	327	271
Snamaycush_2415	52	43
Snamaycush_2416	2	5
Snamaycush_2417	4	2
Snamaycush_2418	2	0
Snamaycush_2419	31	24
Snamaycush_2420	28	22
Snamaycush_2421	514	389
Snamaycush_2422	568	266
Snamaycush_2423	36	46
Snamaycush_2424	19	7
Snamaycush_2425	41	42
Snamaycush_2426	109	87
Snamaycush_2427	39	30
Snamaycush_2428	119	60
Snamaycush_2429	63	37
Snamaycush_2430	159	91
Snamaycush_2431	18	25
Snamaycush_2432	3	2
Snamaycush_2433	22	32
Snamaycush_2434	409	334
Snamaycush_2435	8	7
Snamaycush_2436	107	94
Snamaycush_2437	514	270
Snamaycush_2438	3095	3030
Snamaycush_2439	57	72
Snamaycush_2440	8	11
Snamaycush_2441	707	515
Snamaycush_2442	37	35
Snamaycush_2443	1	1
Snamaycush_2444	15	10
Snamaycush_2445	23	26
Snamaycush_2446	7	12
Snamaycush_2447	406	301
Snamaycush_2448	61	23
Snamaycush_2449	18	9
Snamaycush_2450	0	5
Snamaycush_2451	26	9
Snamaycush_2452	13	5
Snamaycush_2453	0	1
Snamaycush_2454	1	3
Snamaycush_2455	25	23
Snamaycush_2456	18	11
Snamaycush_2457	88	27
Snamaycush_2458	32	34
Snamaycush_2459	67	53
Snamaycush_2460	11	16
Snamaycush_2461	3	2
Snamaycush_2462	50	65
Snamaycush_2463	43	27
Snamaycush_2464	33	20
Snamaycush_2465	41	31
Snamaycush_2466	117	80
Snamaycush_2467	16	10
Snamaycush_2468	1	1
Snamaycush_2469	22	13
Snamaycush_2470	80	44
Snamaycush_2471	85	77
Snamaycush_2472	14	12
Snamaycush_2473	5	8
Snamaycush_2474	380	265
Snamaycush_2475	10479	7160
Snamaycush_2476	55	39
Snamaycush_2477	1	3
Snamaycush_2478	3	1
Snamaycush_2479	62	48
Snamaycush_2480	25	21
Snamaycush_2481	15	14
Snamaycush_2482	88	55
Snamaycush_2483	266	186
Snamaycush_2484	24	16
Snamaycush_2485	44	35
Snamaycush_2486	24	6
Snamaycush_2487	90	54
Snamaycush_2488	1	5
Snamaycush_2489	1	2
Snamaycush_2490	2726	2368
Snamaycush_2491	42	47
Snamaycush_2492	4	2
Snamaycush_2493	61	74
Snamaycush_2494	15	14
Snamaycush_2495	7	9
Snamaycush_2496	7	4
Snamaycush_2497	1	1
Snamaycush_2498	23	17
Snamaycush_2499	147	87
Snamaycush_2500	3	5
Snamaycush_2501	3	2
Snamaycush_2502	28	13
Snamaycush_2503	54	49
Snamaycush_2504	132	118
Snamaycush_2505	3	3
Snamaycush_2506	11	11
Snamaycush_2507	1645	895
Snamaycush_2508	245	160
Snamaycush_2509	15	25
Snamaycush_2510	45	24
Snamaycush_2511	13	10
Snamaycush_2512	230	195
Snamaycush_2513	72	60
Snamaycush_2514	480	358
Snamaycush_2515	3	1
Snamaycush_2516	1	0
Snamaycush_2517	1013	708
Snamaycush_2518	1	2
Snamaycush_2519	396	380
Snamaycush_2520	22	14
Snamaycush_2521	8	7
Snamaycush_2522	0	1
Snamaycush_2523	529	536
Snamaycush_2524	3591	3263
Snamaycush_2525	61	69
Snamaycush_2526	115	95
Snamaycush_2527	285	241
Snamaycush_2528	1	1
Snamaycush_2529	6	4
Snamaycush_2530	431	282
Snamaycush_2531	14	12
Snamaycush_2532	6	3
Snamaycush_2533	45	39
Snamaycush_2534	49	36
Snamaycush_2535	123	81
Snamaycush_2536	0	0
Snamaycush_2537	204	165
Snamaycush_2538	0	0
Snamaycush_2539	1	3
Snamaycush_2540	2	5
Snamaycush_2541	24	14
Snamaycush_2542	17	23
Snamaycush_2543	3	0
Snamaycush_2544	52	31
Snamaycush_2545	0	3
Snamaycush_2546	5773	4359
Snamaycush_2547	28	23
Snamaycush_2548	93	85
Snamaycush_2549	17	19
Snamaycush_2550	4	1
Snamaycush_2551	16	6
Snamaycush_2552	9	5
Snamaycush_2553	253	214
Snamaycush_2554	4	3
Snamaycush_2555	4	2
Snamaycush_2556	101	63
Snamaycush_2557	1093	774
Snamaycush_2558	12	14
Snamaycush_2559	3	3
Snamaycush_2560	16	4
Snamaycush_2561	248	253
Snamaycush_2562	232	160
Snamaycush_2563	4	4
Snamaycush_2564	25	28
Snamaycush_2565	143	99
Snamaycush_2566	23	26
Snamaycush_2567	43	14
Snamaycush_2568	305	269
Snamaycush_2569	18	15
Snamaycush_2570	75	83
Snamaycush_2571	630	634
Snamaycush_2572	57	53
Snamaycush_2573	60	46
Snamaycush_2574	31	21
Snamaycush_2575	3	1
Snamaycush_2576	142	109
Snamaycush_2577	12	15
Snamaycush_2578	15	14
Snamaycush_2579	0	1
Snamaycush_2580	3	1
Snamaycush_2581	43	31
Snamaycush_2582	11	7
Snamaycush_2583	57	45
Snamaycush_2584	53	36
Snamaycush_2585	99	76
Snamaycush_2586	25	25
Snamaycush_2587	74	37
Snamaycush_2588	444	313
Snamaycush_2589	2	2
Snamaycush_2590	11	5
Snamaycush_2591	22	23
Snamaycush_2592	7653	5525
Snamaycush_2593	707	414
Snamaycush_2594	27	21
Snamaycush_2595	4	5
Snamaycush_2596	9	0
Snamaycush_2597	419	352
Snamaycush_2598	4	6
Snamaycush_2599	60	35
Snamaycush_2600	39	29
Snamaycush_2601	8	4
Snamaycush_2602	39	35
Snamaycush_2603	1957	1539
Snamaycush_2604	3	0
Snamaycush_2605	34	31
Snamaycush_2606	59	31
Snamaycush_2607	11	12
Snamaycush_2608	48	48
Snamaycush_2609	68	55
Snamaycush_2610	27	28
Snamaycush_2611	18	13
Snamaycush_2612	17	24
Snamaycush_2613	132	85
Snamaycush_2614	32	9
Snamaycush_2615	34	33
Snamaycush_2616	0	3
Snamaycush_2617	98	71
Snamaycush_2618	347	238
Snamaycush_2619	21998	15124
Snamaycush_2620	322	181
Snamaycush_2621	1	2
Snamaycush_2622	1210	1209
Snamaycush_2623	4	3
Snamaycush_2624	5512	3605
Snamaycush_2625	27	25
Snamaycush_2626	39	29
Snamaycush_2627	10	11
Snamaycush_2628	96	82
Snamaycush_2629	0	4
Snamaycush_2630	0	0
Snamaycush_2631	149	93
Snamaycush_2632	13	8
Snamaycush_2633	48	48
Snamaycush_2634	24	16
Snamaycush_2635	33	40
Snamaycush_2636	2	2
Snamaycush_2637	38	33
Snamaycush_2638	4	2
Snamaycush_2639	1	0
Snamaycush_2640	17	15
Snamaycush_2641	775	605
Snamaycush_2642	11	13
Snamaycush_2643	8	10
Snamaycush_2644	318	309
Snamaycush_2645	50	657
Snamaycush_2646	17	16
Snamaycush_2647	5	4
Snamaycush_2648	166	121
Snamaycush_2649	28	10
Snamaycush_2650	143	114
Snamaycush_2651	8	7
Snamaycush_2652	10	1
Snamaycush_2653	83	79
Snamaycush_2654	192	182
Snamaycush_2655	2724	2369
Snamaycush_2656	59	51
Snamaycush_2657	2	1
Snamaycush_2658	403	433
Snamaycush_2659	9	8
Snamaycush_2660	62	41
Snamaycush_2661	184	123
Snamaycush_2662	2	0
Snamaycush_2663	48	34
Snamaycush_2664	5	4
Snamaycush_2665	3	7
Snamaycush_2666	2	2
Snamaycush_2667	129	103
Snamaycush_2668	67	37
Snamaycush_2669	8	14
Snamaycush_2670	6	4
Snamaycush_2671	17	15
Snamaycush_2672	1409	1547
Snamaycush_2673	67	64
Snamaycush_2674	26	24
Snamaycush_2675	1	1
Snamaycush_2676	0	3
Snamaycush_2677	14	9
Snamaycush_2678	14010	14748
Snamaycush_2679	21	10
Snamaycush_2680	456	271
Snamaycush_2681	88	77
Snamaycush_2682	1	0
Snamaycush_2683	42	37
Snamaycush_2684	212	217
Snamaycush_2685	22	18
Snamaycush_2686	2	0
Snamaycush_2687	534	488
Snamaycush_2688	8	1
Snamaycush_2689	102	43
Snamaycush_2690	0	0
Snamaycush_2691	0	0
Snamaycush_2692	0	1
Snamaycush_2693	352	495
Snamaycush_2694	35	32
Snamaycush_2695	6	7
Snamaycush_2696	487	385
Snamaycush_2697	9	2
Snamaycush_2698	246	175
Snamaycush_2699	36	31
Snamaycush_2700	2	1
Snamaycush_2701	1133	960
Snamaycush_2702	27	58
Snamaycush_2703	15	12
Snamaycush_2704	17	14
Snamaycush_2705	24	24
Snamaycush_2706	14	8
Snamaycush_2707	2	1
Snamaycush_2708	13	7
Snamaycush_2709	885	733
Snamaycush_2710	5	12
Snamaycush_2711	73	38
Snamaycush_2712	11	45
Snamaycush_2713	54	38
Snamaycush_2714	9	3
Snamaycush_2715	13	5
Snamaycush_2716	3	5
Snamaycush_2717	53	46
Snamaycush_2718	1	0
Snamaycush_2719	1	10
Snamaycush_2720	23	14
Snamaycush_2721	26	20
Snamaycush_2722	69	41
Snamaycush_2723	18	8
Snamaycush_2724	168	177
Snamaycush_2725	169	99
Snamaycush_2726	2	4
Snamaycush_2727	21	22
Snamaycush_2728	24	22
Snamaycush_2729	95	66
Snamaycush_2730	44	29
Snamaycush_2731	1	0
Snamaycush_2732	8	2
Snamaycush_2733	139	70
Snamaycush_2734	7	2
Snamaycush_2735	4	4
Snamaycush_2736	50	39
Snamaycush_2737	5	2
Snamaycush_2738	0	0
Snamaycush_2739	60	54
Snamaycush_2740	35	36
Snamaycush_2741	0	1
Snamaycush_2742	81	52
Snamaycush_2743	7	8
Snamaycush_2744	109	81
Snamaycush_2745	144	85
Snamaycush_2746	40	40
Snamaycush_2747	10	6
Snamaycush_2748	1173	1034
Snamaycush_2749	284	218
Snamaycush_2750	54	36
Snamaycush_2751	66	49
Snamaycush_2752	4	10
Snamaycush_2753	7	4
Snamaycush_2754	30	16
Snamaycush_2755	8	3
Snamaycush_2756	21	8
Snamaycush_2757	25	24
Snamaycush_2758	223	221
Snamaycush_2759	450	321
Snamaycush_2760	11	5
Snamaycush_2761	44	46
Snamaycush_2762	13	5
Snamaycush_2763	37	24
Snamaycush_2764	171	105
Snamaycush_2765	316	258
Snamaycush_2766	149	115
Snamaycush_2767	17	20
Snamaycush_2768	15	13
Snamaycush_2769	83	98
Snamaycush_2770	14	14
Snamaycush_2771	5	6
Snamaycush_2772	15	27
Snamaycush_2773	12	11
Snamaycush_2774	17	4
Snamaycush_2775	37	31
Snamaycush_2776	4914	4005
Snamaycush_2777	31	29
Snamaycush_2778	2511	1808
Snamaycush_2779	100	55
Snamaycush_2780	0	0
Snamaycush_2781	140	135
Snamaycush_2782	22	19
Snamaycush_2783	1115	1132
Snamaycush_2784	28	19
Snamaycush_2785	7	5
Snamaycush_2786	1	7
Snamaycush_2787	41	45
Snamaycush_2788	52	57
Snamaycush_2789	34	33
Snamaycush_2790	142	100
Snamaycush_2791	54	56
Snamaycush_2792	33	26
Snamaycush_2793	11	6
Snamaycush_2794	12	20
Snamaycush_2795	35	29
Snamaycush_2796	89	65
Snamaycush_2797	1068	1125
Snamaycush_2798	202	174
Snamaycush_2799	29	31
Snamaycush_2800	6	1
Snamaycush_2801	43	21
Snamaycush_2802	23	24
Snamaycush_2803	341	201
Snamaycush_2804	12	3
Snamaycush_2805	13	9
Snamaycush_2806	33	25
Snamaycush_2807	4	2
Snamaycush_2808	7	12
Snamaycush_2809	16	15
Snamaycush_2810	0	0
Snamaycush_2811	62	43
Snamaycush_2812	45	26
Snamaycush_2813	13	13
Snamaycush_2814	2	1
Snamaycush_2815	16	15
Snamaycush_2816	28	20
Snamaycush_2817	118	125
Snamaycush_2818	10	15
Snamaycush_2819	1	4
Snamaycush_2820	48	58
Snamaycush_2821	25	16
Snamaycush_2822	94	103
Snamaycush_2823	705	612
Snamaycush_2824	8	9
Snamaycush_2825	69	57
Snamaycush_2826	113	48
Snamaycush_2827	48	53
Snamaycush_2828	2	0
Snamaycush_2829	3	5
Snamaycush_2830	2	2
Snamaycush_2831	0	0
Snamaycush_2832	3	2
Snamaycush_2833	45	38
Snamaycush_2834	149	103
Snamaycush_2835	5	0
Snamaycush_2836	55	110
Snamaycush_2837	4	5
Snamaycush_2838	8	7
Snamaycush_2839	22	18
Snamaycush_2840	0	2
Snamaycush_2841	22	16
Snamaycush_2842	1	3
Snamaycush_2843	1616	1994
Snamaycush_2844	17	7
Snamaycush_2845	10	7
Snamaycush_2846	4	1
Snamaycush_2847	34	30
Snamaycush_2848	4	2
Snamaycush_2849	3	1
Snamaycush_2850	5	1
Snamaycush_2851	25	14
Snamaycush_2852	915	798
Snamaycush_2853	2	0
Snamaycush_2854	1133	850
Snamaycush_2855	27	17
Snamaycush_2856	16	13
Snamaycush_2857	84	76
Snamaycush_2858	66	48
Snamaycush_2859	1	1
Snamaycush_2860	141	134
Snamaycush_2861	9	2
Snamaycush_2862	24	19
Snamaycush_2863	3	2
Snamaycush_2864	4	4
Snamaycush_2865	163	108
Snamaycush_2866	64	42
Snamaycush_2867	7	7
Snamaycush_2868	0	2
Snamaycush_2869	2	0
Snamaycush_2870	142	117
Snamaycush_2871	16	4
Snamaycush_2872	76	76
Snamaycush_2873	2	2
Snamaycush_2874	22	27
Snamaycush_2875	2	6
Snamaycush_2876	1	1
Snamaycush_2877	57	66
Snamaycush_2878	16	11
Snamaycush_2879	2	1
Snamaycush_2880	6	6
Snamaycush_2881	15	15
Snamaycush_2882	1	4
Snamaycush_2883	1	1
Snamaycush_2884	0	3
Snamaycush_2885	5	4
Snamaycush_2886	135	109
Snamaycush_2887	6	6
Snamaycush_2888	80	32
Snamaycush_2889	17	19
Snamaycush_2890	49	43
Snamaycush_2891	9	10
Snamaycush_2892	3	3
Snamaycush_2893	520	431
Snamaycush_2894	19	22
Snamaycush_2895	2	1
Snamaycush_2896	0	1
Snamaycush_2897	37	36
Snamaycush_2898	29	30
Snamaycush_2899	9	7
Snamaycush_2900	8	8
Snamaycush_2901	1	1
Snamaycush_2902	20	23
Snamaycush_2903	2	5
Snamaycush_2904	13	16
Snamaycush_2905	4	9
Snamaycush_2906	48	42
Snamaycush_2907	31	28
Snamaycush_2908	13	8
Snamaycush_2909	0	0
Snamaycush_2910	35	15
Snamaycush_2911	0	0
Snamaycush_2912	6	8
Snamaycush_2913	2	4
Snamaycush_2914	99	90
Snamaycush_2915	0	0
Snamaycush_2916	3	3
Snamaycush_2917	1	2
Snamaycush_2918	4	2
Snamaycush_2919	8	4
Snamaycush_2920	10	5
Snamaycush_2921	0	0
Snamaycush_2922	1	0
Snamaycush_2923	30	19
Snamaycush_2924	18	15
Snamaycush_2925	7	3
Snamaycush_2926	0	0
Snamaycush_2927	20	16
Snamaycush_2928	4	3
Snamaycush_2929	10	15
Snamaycush_2930	5	4
Snamaycush_2931	25	22
Snamaycush_2932	23	19
Snamaycush_2933	1	0
Snamaycush_2934	10	4
Snamaycush_2935	57	55
Snamaycush_2936	15	7
Snamaycush_2937	14	9
Snamaycush_2938	1	0
Snamaycush_2939	504	366
Snamaycush_2940	25	15
Snamaycush_2941	11	10
Snamaycush_2942	2	6
Snamaycush_2943	14	12
Snamaycush_2944	3	0
Snamaycush_2945	1	0
Snamaycush_2946	41	27
Snamaycush_2947	0	2
Snamaycush_2948	1	2
Snamaycush_2949	79	63
Snamaycush_2950	19	6
Snamaycush_2951	66	73
Snamaycush_2952	1	1
Snamaycush_2953	102	82
Snamaycush_2954	5	3
Snamaycush_2955	1	0
Snamaycush_2956	16	8
Snamaycush_2957	0	2
Snamaycush_2958	1	3
Snamaycush_2959	23	14
Snamaycush_2960	13	8
Snamaycush_2961	17	9
Snamaycush_2962	12	13
Snamaycush_2963	9	15
Snamaycush_2964	86	66
Snamaycush_2965	6	5
Snamaycush_2966	31	29
Snamaycush_2967	3	10
Snamaycush_2968	2	4
Snamaycush_2969	20	9
Snamaycush_2970	41	32
Snamaycush_2971	7	11
Snamaycush_2972	2	1
Snamaycush_2973	302	259
Snamaycush_2974	1	1
Snamaycush_2975	7	4
Snamaycush_2976	13	9
Snamaycush_2977	74	72
Snamaycush_2978	20	11
Snamaycush_2979	13	12
Snamaycush_2980	14	11
Snamaycush_2981	75	54
Snamaycush_2982	0	1
Snamaycush_2983	14	19
Snamaycush_2984	4	4
Snamaycush_2985	16	5
Snamaycush_2986	156	108
Snamaycush_2987	592	469
Snamaycush_2988	4	6
Snamaycush_2989	1	0
Snamaycush_2990	18	18
Snamaycush_2991	0	0
Snamaycush_2992	44	47
Snamaycush_2993	51	18
Snamaycush_2994	20	14
Snamaycush_2995	3	3
Snamaycush_2996	0	0
Snamaycush_2997	3	3
Snamaycush_2998	46	28
Snamaycush_2999	70	42
Snamaycush_3000	16	16
Snamaycush_3001	81	48
Snamaycush_3002	12	12
Snamaycush_3003	1	1
Snamaycush_3004	3969	3213
Snamaycush_3005	32	26
Snamaycush_3006	18	9
Snamaycush_3007	160	161
Snamaycush_3008	0	1
Snamaycush_3009	0	0
Snamaycush_3010	151	131
Snamaycush_3011	70	58
Snamaycush_3012	24	31
Snamaycush_3013	5	3
Snamaycush_3014	235	169
Snamaycush_3015	10	18
Snamaycush_3016	6	2
Snamaycush_3017	14	14
Snamaycush_3018	2	0
Snamaycush_3019	18	9
Snamaycush_3020	6	7
Snamaycush_3021	77	72
Snamaycush_3022	1	0
Snamaycush_3023	15	5
Snamaycush_3024	20	14
Snamaycush_3025	30	19
Snamaycush_3026	28	25
Snamaycush_3027	16	28
Snamaycush_3028	0	0
Snamaycush_3029	0	1
Snamaycush_3030	8	15
Snamaycush_3031	4	7
Snamaycush_3032	2	0
Snamaycush_3033	14	13
Snamaycush_3034	4	13
Snamaycush_3035	131	108
Snamaycush_3036	686	603
Snamaycush_3037	3	0
Snamaycush_3038	647	503
Snamaycush_3039	180	153
Snamaycush_3040	3	1
Snamaycush_3041	0	0
Snamaycush_3042	169	163
Snamaycush_3043	1	1
Snamaycush_3044	4	2
Snamaycush_3045	0	0
Snamaycush_3046	159	146
Snamaycush_3047	0	0
Snamaycush_3048	2	1
Snamaycush_3049	2	0
Snamaycush_3050	1	0
Snamaycush_3051	0	0
Snamaycush_3052	0	0
Snamaycush_3053	2	3
Snamaycush_3054	0	1
Snamaycush_3055	5	4
Snamaycush_3056	3	17
Snamaycush_3057	0	5
Snamaycush_3058	2	5
Snamaycush_3059	2	4
Snamaycush_3060	0	3
Snamaycush_3061	13	9
Snamaycush_3062	20	7
Snamaycush_3063	10	16
Snamaycush_3064	20	25
Snamaycush_3065	14	5
Snamaycush_3066	22	20
Snamaycush_3067	30	28
Snamaycush_3068	21	17
Snamaycush_3069	0	0
Snamaycush_3070	15	14
Snamaycush_3071	0	2
Snamaycush_3072	7	3
Snamaycush_3073	9	12
Snamaycush_3074	17	6
Snamaycush_3075	0	2
Snamaycush_3076	16	9
Snamaycush_3077	32	16
Snamaycush_3078	11	11
Snamaycush_3079	11	9
Snamaycush_3080	7	6
Snamaycush_3081	121	95
Snamaycush_3082	21	18
Snamaycush_3083	22	25
Snamaycush_3084	4	1
Snamaycush_3085	419	235
Snamaycush_3086	6	5
Snamaycush_3087	4	1
Snamaycush_3088	57	62
Snamaycush_3089	127	88
Snamaycush_3090	6	3
Snamaycush_3091	20	14
Snamaycush_3092	20	31
Snamaycush_3093	74	62
Snamaycush_3094	2	1
Snamaycush_3095	11	10
Snamaycush_3096	3	3
Snamaycush_3097	3	3
Snamaycush_3098	80	43
Snamaycush_3099	0	3
Snamaycush_3100	5	4
Snamaycush_3101	0	2
Snamaycush_3102	17	12
Snamaycush_3103	2	2
Snamaycush_3104	1	0
Snamaycush_3105	25	23
Snamaycush_3106	11	16
Snamaycush_3107	61	75
Snamaycush_3108	1	0
Snamaycush_3109	30	21
Snamaycush_3110	130	102
Snamaycush_3111	31	35
Snamaycush_3112	27	19
Snamaycush_3113	3	2
Snamaycush_3114	33	30
Snamaycush_3115	0	0
Snamaycush_3116	170	155
Snamaycush_3117	305	346
Snamaycush_3118	66	63
Snamaycush_3119	29	26
Snamaycush_3120	2	7
Snamaycush_3121	59	45
Snamaycush_3122	2	7
Snamaycush_3123	183	155
Snamaycush_3124	426	361
Snamaycush_3125	148	110
Snamaycush_3126	11	15
Snamaycush_3127	20	34
Snamaycush_3128	8	8
Snamaycush_3129	37	31
Snamaycush_3130	519	501
Snamaycush_3131	1361	1135
Snamaycush_3132	13	14
Snamaycush_3133	2044	1267
Snamaycush_3134	93	124
Snamaycush_3135	29	14
Snamaycush_3136	23	11
Snamaycush_3137	5	3
Snamaycush_3138	53	19
Snamaycush_3139	70	84
Snamaycush_3140	4	5
Snamaycush_3141	281	174
Snamaycush_3142	228	182
Snamaycush_3143	534	459
Snamaycush_3144	65	55
Snamaycush_3145	59	41
Snamaycush_3146	3	5
Snamaycush_3147	8	3
Snamaycush_3148	32	32
Snamaycush_3149	14	13
Snamaycush_3150	7	1
Snamaycush_3151	4	1
Snamaycush_3152	338	174
Snamaycush_3153	172	148
Snamaycush_3154	272	279
Snamaycush_3155	89	62
Snamaycush_3156	11	16
Snamaycush_3157	83	81
Snamaycush_3158	239	242
Snamaycush_3159	11	16
Snamaycush_3160	4	2
Snamaycush_3161	283	193
Snamaycush_3162	48	31
Snamaycush_3163	12	16
Snamaycush_3164	41	39
Snamaycush_3165	278	281
Snamaycush_3166	107	98
Snamaycush_3167	18	9
Snamaycush_3168	0	0
Snamaycush_3169	2831	2017
Snamaycush_3170	656	452
Snamaycush_3171	78	60
Snamaycush_3172	89	75
Snamaycush_3173	6	5
Snamaycush_3174	25	20
Snamaycush_3175	17	272
Snamaycush_3176	88	61
Snamaycush_3177	1984	1558
Snamaycush_3178	46	47
Snamaycush_3179	2141	785
Snamaycush_3180	2	2
Snamaycush_3181	91	80
Snamaycush_3182	8	6
Snamaycush_3183	906	415
Snamaycush_3184	11	11
Snamaycush_3185	834	692
Snamaycush_3186	89	58
Snamaycush_3187	268	166
Snamaycush_3188	49	57
Snamaycush_3189	2506	1996
Snamaycush_3190	9209	6945
Snamaycush_3191	201	216
Snamaycush_3192	57	38
Snamaycush_3193	173	116
Snamaycush_3194	329	383
Snamaycush_3195	200	134
Snamaycush_3196	507	505
Snamaycush_3197	28	28
Snamaycush_3198	22	27
Snamaycush_3199	1213	1227
Snamaycush_3200	398	284
Snamaycush_3201	24	14
Snamaycush_3202	102	90
Snamaycush_3203	991	993
Snamaycush_3204	31	32
Snamaycush_3205	0	2
Snamaycush_3206	149	142
Snamaycush_3207	98	72
Snamaycush_3208	7	7
Snamaycush_3209	5	4
Snamaycush_3210	13	17
Snamaycush_3211	454	338
Snamaycush_3212	58	52
Snamaycush_3213	29	25
Snamaycush_3214	29077	26702
Snamaycush_3215	123	125
Snamaycush_3216	12	9
Snamaycush_3217	17	12
Snamaycush_3218	395	285
Snamaycush_3219	4773	3759
Snamaycush_3220	22	31
Snamaycush_3221	25	11
Snamaycush_3222	175	147
Snamaycush_3223	45	65
Snamaycush_3224	1983	3392
Snamaycush_3225	104	77
Snamaycush_3226	798	795
Snamaycush_3227	10010	6559
Snamaycush_3228	7408	5451
Snamaycush_3229	5052	4256
Snamaycush_3230	69	72
Snamaycush_3231	79	68
Snamaycush_3232	61	58
Snamaycush_3233	317	248
Snamaycush_3234	9040	7601
Snamaycush_3235	96	75
Snamaycush_3236	479	325
Snamaycush_3237	176	175
Snamaycush_3238	186	123
Snamaycush_3239	2	1
Snamaycush_3240	40	36
Snamaycush_3241	37	33
Snamaycush_3242	13	20
Snamaycush_3243	3	1
Snamaycush_3244	13	16
Snamaycush_3245	453	273
Snamaycush_3246	8	6
Snamaycush_3247	7	7
Snamaycush_3248	60	68
Snamaycush_3249	30	27
Snamaycush_3250	19	14
Snamaycush_3251	107	74
Snamaycush_3252	575	475
Snamaycush_3253	50	36
Snamaycush_3254	136	91
Snamaycush_3255	124	102
Snamaycush_3256	42	29
Snamaycush_3257	28	13
Snamaycush_3258	45	43
Snamaycush_3259	55	31
Snamaycush_3260	1399	1278
Snamaycush_3261	382	228
Snamaycush_3262	21	15
Snamaycush_3263	142	149
Snamaycush_3264	29	31
Snamaycush_3265	198	118
Snamaycush_3266	88	60
Snamaycush_3267	702	584
Snamaycush_3268	34	33
Snamaycush_3269	10	25
Snamaycush_3270	5796	5049
Snamaycush_3271	235	181
Snamaycush_3272	1418	1719
Snamaycush_3273	1272	1039
Snamaycush_3274	30	31
Snamaycush_3275	229	131
Snamaycush_3276	31	11
Snamaycush_3277	3413	2448
Snamaycush_3278	63	31
Snamaycush_3279	71	39
Snamaycush_3280	1504	1186
Snamaycush_3281	10354	7673
Snamaycush_3282	21	17
Snamaycush_3283	4	0
Snamaycush_3284	18	12
Snamaycush_3285	7575	7272
Snamaycush_3286	81	56
Snamaycush_3287	2026	1483
Snamaycush_3288	24	18
Snamaycush_3289	128	99
Snamaycush_3290	43	33
Snamaycush_3291	139	149
Snamaycush_3292	7	6
