"id"	"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"ruditapes2_c1"	4387.27146015372	4978.89876266719	3795.64415764025	0.762346120813055	-0.391481935217938	0.740814515347455	1
"ruditapes2_c10"	45.7462159073433	81.0692433801021	10.4231884345845	0.128571428571429	-2.95935801550265	0.0336654683293807	1
"ruditapes2_c100"	5.52339899952344	6.23609564462323	4.81070235442364	0.771428571428571	-0.374395514781498	0.949598191770152	1
"ruditapes2_c1000"	2.44989471753056	2.49443825784929	2.40535117721182	0.964285714285714	-0.0524674198941357	1	1
"ruditapes2_c1001"	2.04900285466192	2.49443825784929	1.60356745147455	0.642857142857143	-0.637429920615292	1	1
"ruditapes2_c1002"	0	0	0	NA	NA	NA	NA
"ruditapes2_c1003"	0	0	0	NA	NA	NA	NA
"ruditapes2_c1004"	0	0	0	NA	NA	NA	NA
"ruditapes2_c1005"	0.400891862868636	0	0.801783725737273	Inf	Inf	1	1
"ruditapes2_c1006"	29.6214543119604	31.1804782231162	28.0624304008046	0.9	-0.15200309344505	0.935910840904821	1
"ruditapes2_c1007"	55.5012512371468	54.8776416726845	56.1248608016091	1.02272727272727	0.0324214776923774	1	1
"ruditapes2_c1008"	204.766654845236	230.73553885106	178.797770839412	0.774903474903475	-0.367911481211299	0.763306050612284	1
"ruditapes2_c1009"	22.1826830787312	29.9332590941915	14.4321070632709	0.482142857142857	-1.05246741989414	0.467038984303855	1
"ruditapes2_c101"	47.9733929232802	48.6415460280612	47.3052398184991	0.972527472527473	-0.0401890901156989	0.992000386227046	1
"ruditapes2_c1010"	0	0	0	NA	NA	NA	NA
"ruditapes2_c1011"	0	0	0	NA	NA	NA	NA
"ruditapes2_c1012"	2.62806887880551	1.24721912892465	4.00891862868636	3.21428571428571	1.68449817427207	0.6891591959563	1
"ruditapes2_c1013"	0	0	0	NA	NA	NA	NA
"ruditapes2_c1014"	3.87528800773015	3.74165738677394	4.00891862868636	1.07142857142857	0.0995356735509144	1	1
"ruditapes2_c1015"	0.400891862868636	0	0.801783725737273	Inf	Inf	1	1
"ruditapes2_c1016"	1.4253932901996	1.24721912892465	1.60356745147455	1.28571428571429	0.362570079384708	1	1
"ruditapes2_c1017"	1.02450142733096	1.24721912892465	0.801783725737273	0.642857142857143	-0.637429920615292	1	1
"ruditapes2_c1018"	15.1448037083707	17.4610678049451	12.8285396117964	0.73469387755102	-0.444784842672896	0.80391037178039	1
"ruditapes2_c1019"	0	0	0	NA	NA	NA	NA
"ruditapes2_c102"	1.4253932901996	1.24721912892465	1.60356745147455	1.28571428571429	0.362570079384708	1	1
"ruditapes2_c1020"	0	0	0	NA	NA	NA	NA
"ruditapes2_c1021"	0.623609564462323	1.24721912892465	0	0	-Inf	0.882653316427872	1
"ruditapes2_c1022"	1.82628515306823	1.24721912892465	2.40535117721182	1.92857142857143	0.947532580105864	0.98821490147066	1
"ruditapes2_c1023"	1.02450142733096	1.24721912892465	0.801783725737273	0.642857142857143	-0.637429920615292	1	1
"ruditapes2_c1024"	23.5635328286121	17.4610678049451	29.6659978522791	1.69897959183673	0.764668522956054	0.609563750204828	1
"ruditapes2_c1025"	1.02450142733096	1.24721912892465	0.801783725737273	0.642857142857143	-0.637429920615292	1	1
"ruditapes2_c1026"	0.801783725737273	0	1.60356745147455	Inf	Inf	0.843971378627241	1
"ruditapes2_c1027"	49.7551345360297	36.1693547388148	63.3409143332446	1.7512315270936	0.808369832434239	0.545235000428514	1
"ruditapes2_c1028"	0	0	0	NA	NA	NA	NA
"ruditapes2_c1029"	190.779983185152	120.980255505691	260.579710864614	2.15390279823269	1.1069531451134	0.371885231449282	1
"ruditapes2_c103"	34.9221356098901	24.9443825784929	44.8998886412873	1.8	0.84799690655495	0.542197470547192	1
"ruditapes2_c1030"	0	0	0	NA	NA	NA	NA
"ruditapes2_c1031"	3.6971138464552	4.98887651569859	2.40535117721182	0.482142857142857	-1.05246741989414	0.743836773491787	1
"ruditapes2_c1032"	1.02450142733096	1.24721912892465	0.801783725737273	0.642857142857143	-0.637429920615292	1	1
"ruditapes2_c1033"	0	0	0	NA	NA	NA	NA
"ruditapes2_c1034"	0	0	0	NA	NA	NA	NA
"ruditapes2_c1035"	1.64811099179328	2.49443825784929	0.801783725737273	0.321428571428571	-1.63742992061529	0.810265513742977	1
"ruditapes2_c1036"	3.07350428199288	3.74165738677394	2.40535117721182	0.642857142857143	-0.637429920615292	0.939128650451651	1
"ruditapes2_c1037"	22.9844668044685	18.7082869338697	27.2606466750673	1.45714285714286	0.543142325026529	0.728280012946728	1
"ruditapes2_c1038"	3.47439614486152	3.74165738677394	3.20713490294909	0.857142857142857	-0.222392421336448	1	1
"ruditapes2_c1039"	1.4253932901996	1.24721912892465	1.60356745147455	1.28571428571429	0.362570079384708	1	1
"ruditapes2_c104"	0.400891862868636	0	0.801783725737273	Inf	Inf	1	1
"ruditapes2_c1040"	35.7684628759461	38.6637929966641	32.8731327552282	0.850230414746544	-0.234074226384083	0.879024729868126	1
"ruditapes2_c1041"	1.02450142733096	1.24721912892465	0.801783725737273	0.642857142857143	-0.637429920615292	1	1
"ruditapes2_c1042"	10.8240802974532	11.2249721603218	10.4231884345845	0.928571428571428	-0.106915203916512	1	1
"ruditapes2_c1043"	317.060919988773	311.804782231162	322.317057746384	1.03371428571429	0.04783748590155	0.974604912750591	1
"ruditapes2_c1044"	105.969082418276	97.2830920561225	114.65507278043	1.17857142857143	0.237039197300849	0.859239237782016	1
"ruditapes2_c1045"	0	0	0	NA	NA	NA	NA
"ruditapes2_c1046"	2.22717701593687	1.24721912892465	3.20713490294909	2.57142857142857	1.36257007938471	0.822276570717056	1
"ruditapes2_c1047"	0.400891862868636	0	0.801783725737273	Inf	Inf	1	1
"ruditapes2_c1048"	0.801783725737273	0	1.60356745147455	Inf	Inf	0.843971378627241	1
"ruditapes2_c1049"	47.9733929232802	59.8665181883831	36.0802676581773	0.602678571428571	-0.730539325006773	0.579941957792959	1
"ruditapes2_c105"	2.04900285466192	2.49443825784929	1.60356745147455	0.642857142857143	-0.637429920615292	1	1
"ruditapes2_c1050"	5.07796359633606	3.74165738677394	6.41426980589818	1.71428571428571	0.777607578663552	0.804913532377776	1
"ruditapes2_c1051"	15.3675214099644	7.48331477354788	23.2517280463809	3.10714285714286	1.63558857379112	0.307332682398043	1
"ruditapes2_c1052"	0	0	0	NA	NA	NA	NA
"ruditapes2_c1053"	3.07350428199288	3.74165738677394	2.40535117721182	0.642857142857143	-0.637429920615292	0.939128650451651	1
"ruditapes2_c1054"	0	0	0	NA	NA	NA	NA
"ruditapes2_c1055"	0	0	0	NA	NA	NA	NA
"ruditapes2_c1056"	182.806689468098	157.149610244506	208.463768691691	1.3265306122449	0.407657968913246	0.745361195994126	1
"ruditapes2_c1057"	10.4231884345845	11.2249721603218	9.62140470884727	0.857142857142857	-0.222392421336448	0.956017380058711	1
"ruditapes2_c1058"	3.25167844326783	2.49443825784929	4.00891862868636	1.60714285714286	0.684498174272071	0.931078049056935	1
"ruditapes2_c1059"	13.229431474665	11.2249721603218	15.2338907890082	1.35714285714286	0.440572591385981	0.827666757972552	1
"ruditapes2_c106"	1.20267558860591	0	2.40535117721182	Inf	Inf	0.641947616387795	1
"ruditapes2_c1060"	279.733433201671	230.73553885106	328.731327552282	1.42471042471042	0.510668718373842	0.678824531758053	1
"ruditapes2_c1061"	2.04900285466192	2.49443825784929	1.60356745147455	0.642857142857143	-0.637429920615292	1	1
"ruditapes2_c1062"	3.6971138464552	4.98887651569859	2.40535117721182	0.482142857142857	-1.05246741989414	0.743836773491787	1
"ruditapes2_c1063"	0.623609564462323	1.24721912892465	0	0	-Inf	0.882653316427872	1
"ruditapes2_c1064"	0	0	0	NA	NA	NA	NA
"ruditapes2_c1065"	4.67707173346743	3.74165738677394	5.61248608016091	1.5	0.584962500721156	0.898495492491093	1
"ruditapes2_c1066"	2.85078658039919	2.49443825784929	3.20713490294909	1.28571428571429	0.362570079384708	1	1
"ruditapes2_c1067"	0	0	0	NA	NA	NA	NA
"ruditapes2_c1068"	48.68608956838	66.1026138330063	31.2695653037536	0.473045822102426	-1.07994815631624	0.409961139624717	1
"ruditapes2_c1069"	4.49889757219248	4.98887651569859	4.00891862868636	0.803571428571429	-0.315501825727929	1	1
"ruditapes2_c107"	0.801783725737273	0	1.60356745147455	Inf	Inf	0.843971378627241	1
"ruditapes2_c1070"	1.4253932901996	1.24721912892465	1.60356745147455	1.28571428571429	0.362570079384708	1	1
"ruditapes2_c1071"	1.02450142733096	1.24721912892465	0.801783725737273	0.642857142857143	-0.637429920615292	1	1
"ruditapes2_c1072"	11.0022544587281	9.97775303139717	12.0267558860591	1.20535714285714	0.269460674993227	0.93486241947914	1
