Contig	FOUR	THOUS
ruditapes2_c1	62114	30404
ruditapes2_c10	67	12
ruditapes2_c100	62	22
ruditapes2_c1000	23	10
ruditapes2_c1001	35	27
ruditapes2_c1002	0	0
ruditapes2_c1003	0	0
ruditapes2_c1004	2	0
ruditapes2_c1005	3	9
ruditapes2_c1006	633	372
ruditapes2_c1007	1304	1022
ruditapes2_c1008	1379	738
ruditapes2_c1009	975	343
ruditapes2_c101	706	490
ruditapes2_c1010	6	0
ruditapes2_c1011	1	0
ruditapes2_c1012	3	31
ruditapes2_c1013	2	0
ruditapes2_c1014	35	24
ruditapes2_c1015	3	6
ruditapes2_c1016	32	37
ruditapes2_c1017	24	15
ruditapes2_c1018	302	163
ruditapes2_c1019	3	0
ruditapes2_c102	8	14
ruditapes2_c1020	0	0
ruditapes2_c1021	10	3
ruditapes2_c1022	19	23
ruditapes2_c1023	27	11
ruditapes2_c1024	641	767
ruditapes2_c1025	47	23
ruditapes2_c1026	15	26
ruditapes2_c1027	1198	1492
ruditapes2_c1028	0	0
ruditapes2_c1029	465	651
ruditapes2_c103	387	351
ruditapes2_c1030	9	0
ruditapes2_c1031	157	71
ruditapes2_c1032	12	7
ruditapes2_c1033	2	0
ruditapes2_c1034	0	1
ruditapes2_c1035	77	15
ruditapes2_c1036	124	50
ruditapes2_c1037	331	277
ruditapes2_c1038	110	79
ruditapes2_c1039	20	15
ruditapes2_c104	4	5
ruditapes2_c1040	1020	620
ruditapes2_c1041	24	14
ruditapes2_c1042	668	495
ruditapes2_c1043	1210	491
ruditapes2_c1044	1628	1175
ruditapes2_c1045	0	0
ruditapes2_c1046	81	122
ruditapes2_c1047	12	23
ruditapes2_c1048	7	30
ruditapes2_c1049	1971	749
ruditapes2_c105	69	36
ruditapes2_c1050	194	213
ruditapes2_c1051	216	522
ruditapes2_c1052	5	0
ruditapes2_c1053	31	17
ruditapes2_c1054	0	0
ruditapes2_c1055	1	3
ruditapes2_c1056	3299	3324
ruditapes2_c1057	301	166
ruditapes2_c1058	157	132
ruditapes2_c1059	147	127
ruditapes2_c106	15	30
ruditapes2_c1060	3319	3106
ruditapes2_c1061	119	69
ruditapes2_c1062	110	42
ruditapes2_c1063	8	0
ruditapes2_c1064	9	0
ruditapes2_c1065	96	92
ruditapes2_c1066	42	54
ruditapes2_c1067	0	0
ruditapes2_c1068	1535	562
ruditapes2_c1069	37	23
ruditapes2_c107	3	12
ruditapes2_c1070	8	14
ruditapes2_c1071	16	9
ruditapes2_c1072	129	104
ruditapes2_c1073	311	263
ruditapes2_c1074	2	0
ruditapes2_c1075	209	28
ruditapes2_c1076	748	1241
ruditapes2_c1077	311	90
ruditapes2_c1078	784	727
ruditapes2_c1079	1129	360
ruditapes2_c108	2680	1607
ruditapes2_c1080	163	99
ruditapes2_c1081	1047	626
ruditapes2_c1082	55	15
ruditapes2_c1083	150	48
ruditapes2_c1084	576	1008
ruditapes2_c1085	109	56
ruditapes2_c1086	651	884
ruditapes2_c1087	181	189
ruditapes2_c1088	433	431
ruditapes2_c1089	474	228
ruditapes2_c109	658	2307
ruditapes2_c1090	415	229
ruditapes2_c1091	29	10
ruditapes2_c1092	0	0
ruditapes2_c1093	321	222
ruditapes2_c1094	5769	2710
ruditapes2_c1095	23	28
ruditapes2_c1096	19	22
ruditapes2_c1097	33	39
ruditapes2_c1098	465	506
ruditapes2_c1099	245	34
ruditapes2_c11	30	1
ruditapes2_c110	2627	1120
ruditapes2_c1100	164	162
ruditapes2_c1101	51	20
ruditapes2_c1102	3	0
ruditapes2_c1103	4520	4158
ruditapes2_c1104	256	73
ruditapes2_c1105	159	117
ruditapes2_c1106	29	24
ruditapes2_c1107	0	0
ruditapes2_c1108	93	80
ruditapes2_c1109	39	23
ruditapes2_c111	0	0
ruditapes2_c1110	0	0
ruditapes2_c1111	0	0
ruditapes2_c1112	32	3
ruditapes2_c1113	945	973
ruditapes2_c1114	301	240
ruditapes2_c1115	2	0
ruditapes2_c1116	76	5
ruditapes2_c1117	123	52
ruditapes2_c1118	39	16
ruditapes2_c1119	1	0
ruditapes2_c112	13	0
ruditapes2_c1120	216	88
ruditapes2_c1121	1688	553
ruditapes2_c1122	17	8
ruditapes2_c1123	138	88
ruditapes2_c1124	19	15
ruditapes2_c1125	65	58
ruditapes2_c1126	0	0
ruditapes2_c1127	6	0
ruditapes2_c1128	61	9
ruditapes2_c1129	22	16
ruditapes2_c113	941	665
ruditapes2_c1130	152	116
ruditapes2_c1131	240	191
ruditapes2_c1132	73	0
ruditapes2_c1133	181	70
ruditapes2_c1134	120	190
ruditapes2_c1135	45	17
ruditapes2_c1136	65	78
ruditapes2_c1137	311	161
ruditapes2_c1138	12	15
ruditapes2_c1139	0	1
ruditapes2_c114	1132	594
ruditapes2_c1140	37	25
ruditapes2_c1141	152	216
ruditapes2_c1142	66	92
ruditapes2_c1143	3501	2979
ruditapes2_c1144	19	6
ruditapes2_c1145	82	116
ruditapes2_c1146	15	5
ruditapes2_c1147	104	38
ruditapes2_c1148	0	0
ruditapes2_c1149	1	0
ruditapes2_c115	79	29
ruditapes2_c1150	12	3
ruditapes2_c1151	137	90
ruditapes2_c1152	252	159
ruditapes2_c1153	10	19
ruditapes2_c1154	3	2
ruditapes2_c1155	35	16
ruditapes2_c1156	205	65
ruditapes2_c1157	19	8
ruditapes2_c1158	0	0
ruditapes2_c1159	72	53
ruditapes2_c116	297	231
ruditapes2_c1160	69	45
ruditapes2_c1161	2259	2970
ruditapes2_c1162	1	0
ruditapes2_c1163	1859	2469
ruditapes2_c1164	368	361
ruditapes2_c1165	46	35
ruditapes2_c1166	55	31
ruditapes2_c1167	396	449
ruditapes2_c1168	174	74
ruditapes2_c1169	379	191
ruditapes2_c117	1	0
ruditapes2_c1170	91	55
ruditapes2_c1171	46	69
ruditapes2_c1172	20	1
ruditapes2_c1173	81	39
ruditapes2_c1174	270	203
ruditapes2_c1175	298	381
ruditapes2_c1176	91	73
ruditapes2_c1177	4	2
ruditapes2_c1178	17	10
ruditapes2_c1179	12	8
ruditapes2_c118	310	211
ruditapes2_c1180	11	2
ruditapes2_c1181	8	4
ruditapes2_c1182	156	75
ruditapes2_c1183	71	73
ruditapes2_c1184	204	85
ruditapes2_c1185	265	116
ruditapes2_c1186	0	0
ruditapes2_c1187	36	82
ruditapes2_c1188	26	13
ruditapes2_c1189	257	116
ruditapes2_c119	2414	1550
ruditapes2_c1190	1118	1487
ruditapes2_c1191	1747	1060
ruditapes2_c1192	2	6
ruditapes2_c1193	153	64
ruditapes2_c1194	2628	3450
ruditapes2_c1195	25	28
ruditapes2_c1196	9	14
ruditapes2_c1197	48	30
ruditapes2_c1198	0	0
ruditapes2_c1199	2	0
ruditapes2_c12	22	2
ruditapes2_c120	4586	2342
ruditapes2_c1200	207	159
ruditapes2_c1201	28	17
ruditapes2_c1202	467	278
ruditapes2_c1203	438	355
ruditapes2_c1204	95	112
ruditapes2_c1205	592	553
ruditapes2_c1206	450	304
ruditapes2_c1207	0	0
ruditapes2_c1208	0	0
ruditapes2_c1209	23	2
ruditapes2_c121	107	89
ruditapes2_c1210	81	42
ruditapes2_c1211	4	9
ruditapes2_c1212	90	41
ruditapes2_c1213	12	5
ruditapes2_c1214	135	72
ruditapes2_c1215	31	15
ruditapes2_c1216	39	33
ruditapes2_c1217	193	279
ruditapes2_c1218	90	213
ruditapes2_c1219	12	7
ruditapes2_c122	92	122
ruditapes2_c1220	394	244
ruditapes2_c1221	1	0
ruditapes2_c1222	36	22
ruditapes2_c1223	335	555
ruditapes2_c1224	656	432
ruditapes2_c1225	0	0
ruditapes2_c1226	15	22
ruditapes2_c1227	238	425
ruditapes2_c1228	34	38
ruditapes2_c1229	40	11
ruditapes2_c123	214	108
ruditapes2_c1230	5	0
ruditapes2_c1231	1112	808
ruditapes2_c1232	9	4
ruditapes2_c1233	91	28
ruditapes2_c1234	84	20
ruditapes2_c1235	44	10
